Vibrations,The Magic City,Helium,166.1,0.582,0.384,1997ø
The Revolution of Hearts Pts I and II,The Magic City,Helium,481.3,0.582,0.384,1997ø
Ocean of Wine,The Magic City,Helium,244.4,0.582,0.384,1997ø
Medieval People,The Magic City,Helium,248.1,0.582,0.384,1997ø
Lullaby of the Moths,The Magic City,Helium,189.6,0.582,0.384,1997ø
Lady of the Fire,The Magic City,Helium,139.7,0.582,0.384,1997ø
Cosmic Rays,Everything Is Nice: The Matador Records 10th Anniversary Anthology,Helium,235.3,0.582,0.384,1997ø
Clementine,The Magic City,Helium,151.0,0.582,0.384,1997ø
Blue Rain Soda,The Magic City,Helium,110.2,0.582,0.384,1997ø
Ancient Cryme,The Magic City,Helium,235.2,0.582,0.384,1997ø
Aging Astronauts,The Magic City,Helium,188.9,0.582,0.384,1997ø
