Waitress,The Satellite Years,Hopesfall,230.3,0.684,0.409,2002ø
Red Shift,The Satellite Years,Hopesfall,114.0,0.684,0.409,2002ø
Escape Pod For Intangibles,The Satellite Years,Hopesfall,148.3,0.684,0.409,2002ø
Vacation/ Add/ Vacation!,Magnetic North,Hopesfall,221.8,0.684,0.394,2007ø
The Ones,A Types,Hopesfall,279.8,0.684,0.394,2004ø
The Far Pavilions,No Wings To Speak Of,Hopesfall,319.1,0.684,0.394,2001ø
The End Of An Era,No Wings To Speak Of,Hopesfall,405.0,0.684,0.394,2001ø
The Canon,Magnetic North,Hopesfall,62.9,0.684,0.394,2007ø
The Bending,The Satellite Years,Hopesfall,400.7,0.684,0.394,2002ø
Swaskatuawan (Bonustrack),Magnetic North,Hopesfall,329.6,0.684,0.394,2007ø
Swamp Kittens,Magnetic North,Hopesfall,313.9,0.684,0.394,2007ø
Start & Pause,A Types,Hopesfall,185.8,0.684,0.394,2004ø
Secondhand surgery,Magnetic North,Hopesfall,270.9,0.684,0.394,2007ø
Rx Contender The Pretender,Magnetic North,Hopesfall,280.0,0.684,0.394,2007ø
Per Sempre Marciamo,A Types,Hopesfall,345.7,0.684,0.394,2004ø
Paisley,Magnetic North,Hopesfall,384.4,0.684,0.394,2007ø
Open Hands To The Wind,No Wings To Speak Of,Hopesfall,263.9,0.684,0.394,2001ø
Only The Clouds,The Satellite Years,Hopesfall,283.8,0.684,0.394,2002ø
Matchmaker's Haven,A Types,Hopesfall,207.5,0.684,0.394,2004ø
Manipulate The Eclipse,A Types,Hopesfall,278.4,0.684,0.394,2004ø
Magnetic North,Magnetic North,Hopesfall,114.4,0.684,0.394,2007ø
It Happens,A Types,Hopesfall,253.2,0.684,0.394,2004ø
I can do this on an Island,Magnetic North,Hopesfall,77.8,0.684,0.394,2007ø
Head General Hospital,Magnetic North,Hopesfall,357.0,0.684,0.394,2007ø
East Of 1989; Battle Of The Bay,Magnetic North,Hopesfall,274.4,0.684,0.394,2007ø
Devil's concubine,Magnetic North,Hopesfall,293.2,0.684,0.394,2007ø
Decoys Like Curves,The Satellite Years,Hopesfall,255.2,0.684,0.394,2002ø
Dead In Magazines,The Satellite Years,Hopesfall,211.4,0.684,0.394,2002ø
Dana Walker,The Satellite Years,Hopesfall,314.9,0.684,0.394,2002ø
Cubic Zirconias are forever,Magnetic North,Hopesfall,240.4,0.684,0.394,2007ø
Champion Beyond Blessing,A Types,Hopesfall,218.7,0.684,0.394,2004ø
Breathe From Coma,A Types,Hopesfall,277.8,0.684,0.394,2004ø
Bird Flu,Magnetic North,Hopesfall,261.9,0.684,0.394,2006ø
April Left With Silence,No Wings To Speak Of,Hopesfall,186.8,0.684,0.394,2001ø
Andromeda,The Satellite Years,Hopesfall,168.3,0.684,0.394,2002ø
A Man Exits,The Satellite Years,Hopesfall,220.4,0.684,0.394,2002ø
