Why Judy (album/edited version),Hot Action Cop,Hot Action Cop,315.3,0.648,0.442,2003ø
The Special (album/edited version),Hot Action Cop,Hot Action Cop,293.9,0.648,0.442,2003ø
Show Her (album/Superstore Shoppers/edited version),Hot Action Cop,Hot Action Cop,287.3,0.648,0.442,2003ø
In A Little While (Album Version),Hot Action Cop,Hot Action Cop,237.8,0.648,0.442,2003ø
Goin' Down On It (album/edited version),Hot Action Cop,Hot Action Cop,290.7,0.648,0.442,2003ø
Fever For The Flava (Radio Edit),Fever For The Flava,Hot Action Cop,219.2,0.648,0.442,2004ø
Fever For The Flava (Album Version),Hot Action Cop,Hot Action Cop,249.1,0.648,0.442,2003ø
Face Around (Album Version),Hot Action Cop,Hot Action Cop,318.3,0.648,0.442,2003ø
Doom Boom(album/edited version),Hot Action Cop,Hot Action Cop,321.3,0.648,0.442,2003ø
Club Slut (album/edited version),Hot Action Cop,Hot Action Cop,249.5,0.648,0.442,2003ø
Busted (Album Version),Hot Action Cop,Hot Action Cop,288.5,0.648,0.442,2003ø
Alayal (Album Version),Hot Action Cop,Hot Action Cop,293.9,0.648,0.442,2003ø
