You'll Never Be So Wrong,Greatest Hits Volume 2,Hot Chocolate,268.6,0.663,0.503,1982ø
You'll Always Be A Friend,14 Greatest Hits,Hot Chocolate,209.0,0.663,0.503,1972ø
You Sexy Thing (Single Version),Their Greatest Hits,Hot Chocolate,244.4,0.663,0.503,2009ø
You Sexy Thing (Remix),The Best Of Hot Chocolate,Hot Chocolate,225.2,0.663,0.503,1998ø
You Sexy Thing,Love To Love,Hot Chocolate,241.7,0.663,0.503,1975ø
You Could've Been A Lady,Hot Chocolate - The Essential Collection,Hot Chocolate,228.2,0.663,0.503,1976ø
What Kinda Boy You Lookin' For (Girl),The Best Of Hot Chocolate,Hot Chocolate,226.7,0.663,0.503,1995ø
Walking On The Moon,Hot Chocolate - The Essential Collection,Hot Chocolate,326.9,0.663,0.503,1980ø
Sugar Daddy,Hot Chocolate - The Essential Collection,Hot Chocolate,325.8,0.663,0.503,1976ø
Stay With Me,Hot Chocolate - The Essential Collection,Hot Chocolate,244.5,0.663,0.503,1978ø
So You Win Again,Hot Chocolate - The Essential Collection,Hot Chocolate,268.3,0.663,0.503,1978ø
Rumours,14 Greatest Hits,Hot Chocolate,272.8,0.663,0.503,1976ø
Put Your Love In Me,Their Greatest Hits,Hot Chocolate,341.3,0.663,0.503,1977ø
Pretty Girls,A's_ B's and Rarities,Hot Chocolate,144.4,0.663,0.503,1970ø
No Tears,Hot Chocolate - The Essential Collection,Hot Chocolate,226.4,0.663,0.503,1982ø
No Doubt About It,The Best Of Hot Chocolate,Hot Chocolate,268.0,0.663,0.503,1980ø
Never Pretend,Best Of Disco,Hot Chocolate,219.5,0.663,0.503,1996ø
Mystery,Hot Chocolate - The Essential Collection,Hot Chocolate,224.8,0.663,0.503,1982ø
Mindless Boogie,More Greatest Hits,Hot Chocolate,260.2,0.663,0.503,1979ø
Love Me To Sleep,More Greatest Hits,Hot Chocolate,237.8,0.663,0.503,1980ø
Love Is Life,Their Greatest Hits,Hot Chocolate,215.7,0.663,0.503,1970ø
Losing You,Hot Chocolate - The Essential Collection,Hot Chocolate,257.3,0.663,0.503,1980ø
Let Them Be The Judge,Hot Chocolate - The Essential Collection,Hot Chocolate,201.0,0.663,0.503,1977ø
It Started With A Kiss,Top Of The Pops - Eighties Pop,Hot Chocolate,239.8,0.663,0.503,1982ø
I'll Put You Together Again,More Greatest Hits,Hot Chocolate,233.9,0.663,0.503,1978ø
I Want To Be Free,A's_ B's and Rarities,Hot Chocolate,170.3,0.663,0.503,1973ø
I Gave You My Heart (Didn't I),Hot Chocolate - The Essential Collection,Hot Chocolate,218.6,0.663,0.503,1984ø
Going Through The Motions,More Greatest Hits,Hot Chocolate,251.1,0.663,0.503,1979ø
Give Peace A Chance,A's_ B's and Rarities,Hot Chocolate,275.4,0.663,0.503,2010ø
Girl Crazy,The Best Of Hot Chocolate,Hot Chocolate,202.6,0.663,0.503,1982ø
Every 1's A Winner (Groove Mix),The Best Of Hot Chocolate,Hot Chocolate,233.8,0.663,0.503,1987ø
Every 1's A Winner,Original Hits - Seventies,Hot Chocolate,233.5,0.663,0.503,1978ø
Emotion Explosion,Hot Chocolate - The Essential Collection,Hot Chocolate,238.7,0.663,0.503,1982ø
Emma,Their Greatest Hits,Hot Chocolate,232.6,0.663,0.503,1974ø
Don't Stop It Now,The Best Of Hot Chocolate,Hot Chocolate,175.4,0.663,0.503,1976ø
Disco Queen,Hot Chocolate - The Essential Collection,Hot Chocolate,187.6,0.663,0.503,1974ø
Cicero Park,Hot Chocolate - The Essential Collection,Hot Chocolate,281.3,0.663,0.503,1974ø
Cheri Babe,14 Greatest Hits,Hot Chocolate,177.2,0.663,0.503,1976ø
Chances,Very Best Of Hot Chocolate,Hot Chocolate,243.1,0.663,0.503,1982ø
Caveman Billy,A's_ B's and Rarities,Hot Chocolate,243.4,0.663,0.503,1971ø
Brother Louie,A's_ B's and Rarities,Hot Chocolate,299.0,0.663,0.503,1973ø
Are You Getting Enough Of What Makes You Happy,Premium Gold Collection,Hot Chocolate,251.7,0.663,0.503,1995ø
Are You Getting Enough Happiness,Very Best Of Hot Chocolate,Hot Chocolate,351.6,0.663,0.503,1982ø
A Child's Prayer,Their Greatest Hits,Hot Chocolate,230.6,0.663,0.503,1975ø
