Yolanda,Seelentaucher,Hubert Kah,271.1,0.507,0.401,2005ø
Willkommen Im Leben,Seelentaucher,Hubert Kah,232.5,0.507,0.401,2005ø
Voyeur,Rosemarie,Hubert Kah,157.9,0.507,0.401,1982ø
Tanzen Gehn,Rosemarie,Hubert Kah,131.4,0.507,0.401,1982ø
Suzanne,Rosemarie,Hubert Kah,160.5,0.507,0.401,1996ø
Sternenhimmel,Rosemarie,Hubert Kah,186.1,0.507,0.401,1982ø
Sekunsden,Seelentaucher,Hubert Kah,245.6,0.507,0.401,2005ø
Raketen,Seelentaucher,Hubert Kah,249.8,0.507,0.401,2005ø
Psycho Radio (Radio Edit),Seelentaucher,Hubert Kah,224.0,0.507,0.401,2005ø
No Rain (Original Mix),Seelentaucher,Hubert Kah,236.9,0.507,0.401,2005ø
Monika,Rosemarie,Hubert Kah,158.5,0.507,0.401,1982ø
Military Drums 2005,Seelentaucher,Hubert Kah,226.1,0.507,0.401,2005ø
Lifeline,Seelentaucher,Hubert Kah,276.1,0.507,0.401,2005ø
Ich Bleib Bei Dir,Seelentaucher,Hubert Kah,260.4,0.507,0.401,2005ø
Fels In Der Brandung,Seelentaucher,Hubert Kah,295.4,0.507,0.401,2005ø
Engel 07,Rosemarie,Hubert Kah,245.3,0.507,0.401,1988ø
Edelstein,Rosemarie,Hubert Kah,188.1,0.507,0.401,1996ø
Aufblasbare Puppen,Rosemarie,Hubert Kah,216.3,0.507,0.401,1982ø
Alles Klingt,Seelentaucher,Hubert Kah,311.6,0.507,0.401,2005ø
