Whenever I Do,Tales Told,Ian Broudie,189.5,0.46,0.416,2004ø
Tales Told,Tales Told,Ian Broudie,109.9,0.46,0.416,2004ø
Super Cinema,Tales Told,Ian Broudie,106.7,0.46,0.416,2004ø
Song For No One,Tales Told,Ian Broudie,157.6,0.46,0.416,2004ø
Something Street,Tales Told,Ian Broudie,193.1,0.46,0.416,2004ø
Smoke Rings,Tales Told,Ian Broudie,220.2,0.46,0.416,2004ø
Lipstick,Tales Told,Ian Broudie,197.8,0.46,0.416,2004ø
Home From Home,Tales Told,Ian Broudie,102.0,0.46,0.416,2004ø
He Sails Tonight,Tales Told,Ian Broudie,183.4,0.46,0.416,2004ø
Got No Plans,Tales Told,Ian Broudie,139.5,0.46,0.416,2004ø
Broudie's Blues,Tales Told,Ian Broudie,138.7,0.46,0.416,2004ø
Always Knocking,Tales Told,Ian Broudie,242.9,0.46,0.416,2004ø
