Too Much War,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,201.1,0.023,0.35,1999ø
Rock For Ever,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,182.2,0.023,0.35,1999ø
Release Dub,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,179.4,0.023,0.35,1999ø
Peace Time Now,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,205.1,0.023,0.35,1999ø
Meditation Rock,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,183.5,0.023,0.35,1999ø
Killer Dub,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,195.7,0.023,0.35,1999ø
General Amin,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,212.1,0.023,0.35,1999ø
Frelimo,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,209.0,0.023,0.35,1999ø
Fidel At The Control,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,224.4,0.023,0.35,1999ø
Dread At The Control,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,170.5,0.023,0.35,1999ø
Copper Bullet,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,208.4,0.023,0.35,1999ø
Careless Dub,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,202.3,0.023,0.35,1999ø
Bad Reputation,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,167.9,0.023,0.35,1999ø
All Babylonians,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,194.7,0.023,0.35,1999ø
Addis Ababa Rock,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,191.6,0.023,0.35,1999ø
