Suunnaton typeryys,Vuosikerta,Irwin Goodman,166.1,0.517,0.493,1989ø
Suomalainen tango,Cha cha cha,Irwin Goodman,229.4,0.517,0.493,1978ø
Sinua rakastan,Cha cha cha,Irwin Goodman,195.9,0.517,0.493,1978ø
Ryysyranta meni,Lauluja elokuvasta Rentun Ruusu,Irwin Goodman,179.0,0.517,0.493,1970ø
Romeo ilman Juliaa,20 Suosikkia  / Laulajan testamentti,Irwin Goodman,176.4,0.517,0.493,1990ø
Rentun ruusu,Lauluja elokuvasta Rentun Ruusu,Irwin Goodman,207.5,0.517,0.493,1988ø
Pirskeet,Reteesti vaan,Irwin Goodman,178.9,0.517,0.493,1968ø
Olen hermostunut,Osta minut,Irwin Goodman,145.7,0.517,0.493,1967ø
Maksettu rakkaus,Hurraa! Me teemme laivoja,Irwin Goodman,153.8,0.517,0.493,1990ø
Kun joulupukki vatsahaavan sai,Kohta taas on joulu,Irwin Goodman,201.7,0.517,0.493,1972ø
Konnunsuon pikku kaisa,Poing poing poing,Irwin Goodman,165.5,0.517,0.493,1971ø
Kieltolaki,Reteesti vaan,Irwin Goodman,131.3,0.517,0.493,1968ø
Kalteritango,Irwinismi,Irwin Goodman,181.8,0.517,0.493,1966ø
Yhteinen koti,Erikoiset,Irwin Goodman,194.3,0.517,0.433,2001ø
Virkamies Virtanen,Irwinismi,Irwin Goodman,171.6,0.517,0.433,1966ø
Uusi tie,Kolmastoista kerta,Irwin Goodman,198.0,0.517,0.433,1977ø
Tyydyn kohtaloon,Irwinismi,Irwin Goodman,159.9,0.517,0.433,1966ø
Tumma virta,20 Suosikkia  / Laulajan testamentti,Irwin Goodman,208.5,0.517,0.433,1990ø
Tositarkoituksin,20 Suosikkia / Ryysyranta,Irwin Goodman,159.1,0.517,0.433,1970ø
Tavallinen hanttimies,Erikoiset,Irwin Goodman,283.5,0.517,0.433,1971ø
Tappajakansa,Osta minut,Irwin Goodman,214.0,0.517,0.433,1967ø
Suruton nuoruusaika,Lauluja elokuvasta Rentun Ruusu,Irwin Goodman,216.3,0.517,0.433,1978ø
Suojelusenkeli,Hurraa! Me teemme laivoja,Irwin Goodman,198.3,0.517,0.433,1990ø
Sotilas,Ei tippa tapa,Irwin Goodman,137.0,0.517,0.433,1966ø
Sensuuriin kaikki vaan,Osta minut,Irwin Goodman,123.4,0.517,0.433,1967ø
Riemu ja ratto,Lauluja elokuvasta Rentun Ruusu,Irwin Goodman,155.5,0.517,0.433,1990ø
Reissumiehen reppu,Rentun ruusu,Irwin Goodman,182.4,0.517,0.433,1988ø
Rakkain,Irwin Goodman,Irwin Goodman,257.4,0.517,0.433,1970ø
Raha ratkaisee,Lauluja elokuvasta Rentun Ruusu,Irwin Goodman,119.1,0.517,0.433,1966ø
Pohjaan asti,20 Suosikkia  / Salainen agentti,Irwin Goodman,153.8,0.517,0.433,1970ø
Pieni iltasatu,St. Pauli ja Reeperbahn,Irwin Goodman,268.1,0.517,0.433,1970ø
Oy Suomi,Kolmastoista kerta,Irwin Goodman,229.6,0.517,0.433,1977ø
Onni,Cha cha cha,Irwin Goodman,231.5,0.517,0.433,1978ø
Oli simmarit_ sammarit_ kummarit ja pipo,Las Palmas,Irwin Goodman,156.1,0.517,0.433,1972ø
Mutakuono ja lakupelle,Vuosikerta,Irwin Goodman,166.3,0.517,0.433,1989ø
Moneen junaan,Erikoiset,Irwin Goodman,173.1,0.517,0.433,2001ø
Meni rahahommat pieleen,Irwin Goodman,Irwin Goodman,181.1,0.517,0.433,1970ø
Marcello Magaroni,Irwinismi,Irwin Goodman,165.7,0.517,0.433,1966ø
Maailman mies,Cha cha cha,Irwin Goodman,222.7,0.517,0.433,1978ø
Liverpoolin pokia,Dirly dirly dee,Irwin Goodman,157.3,0.517,0.433,1985ø
Kusessa ollaan,Dirly dirly dee,Irwin Goodman,240.0,0.517,0.433,1985ø
Kulkurin kulta,20 Suosikkia  / Laulajan testamentti,Irwin Goodman,183.8,0.517,0.433,1979ø
Koskenkorvassa,Hurraa! Me teemme laivoja,Irwin Goodman,159.6,0.517,0.433,1990ø
Kaikki kaipaa rakkautta,Nostalgia,Irwin Goodman,253.8,0.517,0.433,1990ø
Joulupukin boogie,Kohta taas on joulu,Irwin Goodman,177.6,0.517,0.433,1972ø
Ikuinen kapinallinen,Dirly dirly dee,Irwin Goodman,193.6,0.517,0.433,1985ø
Hi-li-li-loo_ hu-li-li-luu,Las Palmas,Irwin Goodman,158.5,0.517,0.433,1972ø
Herran jestas,Si Si Si,Irwin Goodman,184.3,0.517,0.433,1974ø
Hei bab bab,Dirly dirly dee,Irwin Goodman,194.6,0.517,0.433,1985ø
Haista itse vaan,Osta minut,Irwin Goodman,166.9,0.517,0.433,1967ø
Ei kukaan,Vuosikerta,Irwin Goodman,191.1,0.517,0.433,1989ø
Bambina_ Bambina,Rentun ruusu,Irwin Goodman,157.2,0.517,0.433,1988ø
Balladi voivuoresta,20 Suosikkia  / Laulajan testamentti,Irwin Goodman,142.3,0.517,0.433,1970ø
Autolla Kanarian saarille,Irwinismi,Irwin Goodman,112.2,0.517,0.433,1966ø
Ampu tulee,Si Si Si,Irwin Goodman,164.1,0.517,0.433,1974ø
Ai ai ai ja voi voi voi,Kohta taas on joulu,Irwin Goodman,164.4,0.517,0.433,1972ø
