Verdadeiro Carnaval,Clube Carnavalesco Inocentes Em Progresso,Ivete Sangalo,208.8,0.645,0.561,2003ø
Ruas E Rios,Festa,Ivete Sangalo,258.4,0.645,0.561,2001ø
Penso,Festa,Ivete Sangalo,216.5,0.645,0.561,2001ø
Monsieur Samba,Ivete Sangalo,Ivete Sangalo,228.1,0.645,0.561,1999ø
Meu Maior Presente,Festa,Ivete Sangalo,217.2,0.645,0.561,2001ø
Berimbau Metalizado,Berimbau Metalizado,Ivete Sangalo,216.1,0.645,0.561,2007ø
Vira Vira,Beat Beleza,Ivete Sangalo,222.9,0.645,0.55,2000ø
Vai Dar Certo,Clube Carnavalesco Inocentes Em Progresso,Ivete Sangalo,230.5,0.645,0.55,2003ø
Tanta Saudade,Beat Beleza,Ivete Sangalo,233.4,0.645,0.55,2000ø
Ta Tudo Bem,Ivete Sangalo,Ivete Sangalo,228.9,0.645,0.55,1999ø
Rosa Roseira,Beat Beleza,Ivete Sangalo,200.8,0.645,0.55,2000ø
Ritmo Gostoso,Clube Carnavalesco Inocentes Em Progresso,Ivete Sangalo,209.8,0.645,0.55,2003ø
Pop Zem,Festa,Ivete Sangalo,299.1,0.645,0.55,2001ø
Oba Oba,Multishow Registro Ivete - Pode Entrar,Ivete Sangalo,231.4,0.645,0.55,2009ø
Narizinho,Festa,Ivete Sangalo,188.3,0.645,0.55,2001ø
Me Deixe Em Paz (Can You Read My Mind),Beat Beleza,Ivete Sangalo,260.8,0.645,0.55,2000ø
Eternamente,Ivete Sangalo,Ivete Sangalo,239.5,0.645,0.55,1999ø
Empurra_ Empurra,Beat Beleza,Ivete Sangalo,179.5,0.645,0.55,2000ø
E Tudo Mais,Festa,Ivete Sangalo,232.6,0.645,0.55,2001ø
Devagar E Sempre,Clube Carnavalesco Inocentes Em Progresso,Ivete Sangalo,199.5,0.645,0.55,2003ø
Chuva De Flor,Ivete Sangalo,Ivete Sangalo,197.8,0.645,0.55,1999ø
Bug Bug Bye Bye,Beat Beleza,Ivete Sangalo,247.4,0.645,0.55,2000ø
Bota Pra Ferver,Ivete Sangalo,Ivete Sangalo,256.2,0.645,0.55,1999ø
Astral,Festa,Ivete Sangalo,243.5,0.645,0.55,2001ø
Aqui Vai Rolar,Festa,Ivete Sangalo,204.1,0.645,0.55,2001ø
100 O Seu Amor,Ivete Sangalo,Ivete Sangalo,197.0,0.645,0.55,1999ø
