Ya Te Quemaste,Cronicas De Un Laberinto,Jaguares,177.0,0.668,0.494,2005ø
Y Si,Cronicas De Un Laberinto,Jaguares,180.0,0.668,0.494,2005ø
Voy A Volar,El Equilibrio De Los Jaguares,Jaguares,303.7,0.668,0.494,1996ø
Viento,El Primer Instinto,Jaguares,215.6,0.668,0.494,2002ø
Tu Reino,Bajo El Azul De Tu Misterio,Jaguares,287.9,0.668,0.494,1999ø
Todo Te Da Igual,Cronicas De Un Laberinto,Jaguares,192.3,0.668,0.494,2005ø
Te Lo Pido Por Favor,El Primer Instinto,Jaguares,206.1,0.668,0.494,2002ø
Solo Somos Suenos,El Equilibrio De Los Jaguares,Jaguares,245.6,0.668,0.494,1996ø
Sangre,Bajo El Azul De Tu Misterio,Jaguares,320.1,0.668,0.494,1999ø
Quisiera Ser Alcohol,El Primer Instinto,Jaguares,358.5,0.668,0.494,1999ø
Por Un Beso,El Primer Instinto,Jaguares,304.2,0.668,0.494,2001ø
Perdi Mi Ojo De Venado,El Primer Instinto,Jaguares,195.4,0.668,0.494,2002ø
Parpadea,Bajo El Azul De Tu Misterio,Jaguares,236.5,0.668,0.494,1999ø
Nunca Te Doslaras,El Equilibrio De Los Jaguares,Jaguares,277.4,0.668,0.494,1996ø
Nos Vamos Juntos,Bajo El Azul De Tu Misterio,Jaguares,329.8,0.668,0.494,1999ø
No Me Culpes,Bajo El Azul De Tu Misterio,Jaguares,240.6,0.668,0.494,1999ø
No Importa,El Primer Instinto,Jaguares,124.7,0.668,0.494,2002ø
Me Evaporo,Cronicas De Un Laberinto,Jaguares,253.0,0.668,0.494,2005ø
Matenme Porque Me Muero,El Primer Instinto,Jaguares,236.3,0.668,0.494,2002ø
Mantarraya,Bajo El Azul De Tu Misterio,Jaguares,355.4,0.668,0.494,1999ø
Madera,Cronicas De Un Laberinto,Jaguares,179.4,0.668,0.494,2005ø
Las Ratas No Tienen Alas,El Equilibrio De Los Jaguares,Jaguares,311.5,0.668,0.494,1996ø
La Vida No Es Igual,El Primer Instinto,Jaguares,200.6,0.668,0.494,2001ø
La Forma,Cronicas De Un Laberinto,Jaguares,189.9,0.668,0.494,2005ø
La Celula Que Explota,El Primer Instinto,Jaguares,218.7,0.668,0.494,2002ø
Imaginame,El Equilibrio De Los Jaguares,Jaguares,301.4,0.668,0.494,1996ø
Huracan,El Equilibrio De Los Jaguares,Jaguares,342.2,0.668,0.494,1996ø
Hoy,Bajo El Azul De Tu Misterio,Jaguares,323.3,0.668,0.494,1999ø
Hay Amores Que Matan,Cronicas De Un Laberinto,Jaguares,191.0,0.668,0.494,2005ø
Fin,Bajo El Azul De Tu Misterio,Jaguares,266.8,0.668,0.494,1999ø
Estoy Cansado,Cuando La Sangre Galopa,Jaguares,287.9,0.668,0.494,2001ø
Espejo,Cronicas De Un Laberinto,Jaguares,259.1,0.668,0.494,2005ø
En La Tierra,Cuando La Sangre Galopa,Jaguares,278.5,0.668,0.494,2001ø
En La Habitacion De Tu Mente,El Equilibrio De Los Jaguares,Jaguares,313.1,0.668,0.494,1996ø
El Ultimo Planeta,Cuando La Sangre Galopa,Jaguares,210.3,0.668,0.494,2001ø
El Secreto,Cuando La Sangre Galopa,Jaguares,273.0,0.668,0.494,2001ø
El Momento,Cuando La Sangre Galopa,Jaguares,302.8,0.668,0.494,2001ø
El Milagro,Bajo El Azul De Tu Misterio,Jaguares,250.0,0.668,0.494,1996ø
El Equilibrio (Parte Uno),El Equilibrio De Los Jaguares,Jaguares,129.8,0.668,0.494,1996ø
El Equilibrio (Parte Dos),El Equilibrio De Los Jaguares,Jaguares,230.2,0.668,0.494,1996ø
El Aislamiento,Cuando La Sangre Galopa,Jaguares,234.4,0.668,0.494,2001ø
Dime Jaguar,Bajo El Azul De Tu Misterio,Jaguares,315.6,0.668,0.494,1996ø
Detras De Los Cerros,El Equilibrio De Los Jaguares,Jaguares,238.4,0.668,0.494,1996ø
Dejate Ver,El Equilibrio De Los Jaguares,Jaguares,311.1,0.668,0.494,1996ø
De Noche Todos Los Gatos Son Pardos,Bajo El Azul De Tu Misterio,Jaguares,470.2,0.668,0.494,1999ø
Cuando La Sangre Galopa,Cuando La Sangre Galopa,Jaguares,317.7,0.668,0.494,2001ø
Contigo,Cuando La Sangre Galopa,Jaguares,234.5,0.668,0.494,2001ø
Como Tu,Cuando La Sangre Galopa,Jaguares,255.5,0.668,0.494,2001ø
Clavame Mejor Los Dientes,El Equilibrio De Los Jaguares,Jaguares,227.1,0.668,0.494,1996ø
Ayer Me Dijo Un Ave,Bajo El Azul De Tu Misterio,Jaguares,292.8,0.668,0.494,1999ø
Arriesgate,El Primer Instinto,Jaguares,224.4,0.668,0.494,2002ø
Antes De Que Nos Olviden,El Primer Instinto,Jaguares,276.8,0.668,0.494,2002ø
Adonde Vamos A Ir,El Equilibrio De Los Jaguares,Jaguares,291.8,0.668,0.494,1996ø
