What U Know About This,Buzzrock Warrior,Jahdan Blakkamoore,201.2,0.51,0.447,2009ø
Varela,We Are Raiders,Jahdan Blakkamoore,227.8,0.51,0.447,2008ø
The General,She Said feat. 77Klash,Jahdan Blakkamoore,230.1,0.51,0.447,2009ø
Runaround,Buzzrock Warrior,Jahdan Blakkamoore,178.0,0.51,0.447,2009ø
Rise Again feat. Abena Koomson,Buzzrock Warrior,Jahdan Blakkamoore,164.7,0.51,0.447,2009ø
Pure Riddim,We Are Raiders,Jahdan Blakkamoore,294.7,0.51,0.447,2008ø
Pon Time,We Are Raiders,Jahdan Blakkamoore,190.9,0.51,0.447,2008ø
Payola Riddim,We Are Raiders,Jahdan Blakkamoore,194.0,0.51,0.447,2008ø
Nice Green Riddim,We Are Raiders,Jahdan Blakkamoore,231.8,0.51,0.447,2008ø
Nice Green,We Are Raiders,Jahdan Blakkamoore,237.2,0.51,0.447,2008ø
Mesmerized feat. Durrty Goodz,Buzzrock Warrior,Jahdan Blakkamoore,276.0,0.51,0.447,2009ø
Go Round Payola,We Are Raiders,Jahdan Blakkamoore,196.1,0.51,0.447,2008ø
Get Hustlin,Buzzrock Warrior,Jahdan Blakkamoore,130.3,0.51,0.447,2009ø
For The Souls,Solar Life Raft: The Ingredients,Jahdan Blakkamoore,289.8,0.51,0.447,2009ø
Earthshaking,Buzzrock Warrior,Jahdan Blakkamoore,215.0,0.51,0.447,2009ø
Dollar Van Skit,Buzzrock Warrior,Jahdan Blakkamoore,90.0,0.51,0.447,2009ø
Dem a Idiot feat. 77Klash,Buzzrock Warrior,Jahdan Blakkamoore,174.0,0.51,0.447,2009ø
Come With Me,Buzzrock Warrior,Jahdan Blakkamoore,228.0,0.51,0.447,2009ø
Broken in Brooklyn,Buzzrock Warrior,Jahdan Blakkamoore,237.8,0.51,0.447,2009ø
