Walk On By (Album Version),Double Barrel,Jazz Jamaica,264.5,0.427,0.281,1998ø
This Old Heart Of Mine,Motorcity Roots,Jazz Jamaica,231.0,0.427,0.281,2005ø
Signed Sealed Delivered,Motorcity Roots,Jazz Jamaica,219.7,0.427,0.281,2005ø
Shank-Kai-Chek (Album Version),Double Barrel,Jazz Jamaica,226.7,0.427,0.281,1998ø
Night Dreamer (Album Version),Double Barrel,Jazz Jamaica,223.3,0.427,0.281,1998ø
Marcus Junior (Album Version),Double Barrel,Jazz Jamaica,265.0,0.427,0.281,1998ø
Ma Cherie Amour,Motorcity Roots,Jazz Jamaica,314.7,0.427,0.281,2005ø
Just My Imagination,Motorcity Roots,Jazz Jamaica,322.7,0.427,0.281,2005ø
I Want You Back,Motorcity Roots,Jazz Jamaica,287.0,0.427,0.281,2005ø
I Heard It Through The Grapevine (Album Version),Double Barrel,Jazz Jamaica,288.6,0.427,0.281,1998ø
Double Barrel (Album Version),Double Barrel,Jazz Jamaica,276.9,0.427,0.281,1998ø
Dewey Square (Album Version),Double Barrel,Jazz Jamaica,257.1,0.427,0.281,1998ø
Confucious (Album Version),Double Barrel,Jazz Jamaica,298.8,0.427,0.281,1998ø
Butterfly (Album Version),Double Barrel,Jazz Jamaica,267.2,0.427,0.281,1998ø
(theme From) Exodus (Album Version),Double Barrel,Jazz Jamaica,249.4,0.427,0.281,1998ø
