Yaoussa,Harmonicas,Jean-Jacques Milteau,237.1,0.376,0.36,2009ø
Taxco,Harmonicas,Jean-Jacques Milteau,216.0,0.376,0.36,2009ø
Summer Moments,Soul Conversation,Jean-Jacques Milteau,279.3,0.376,0.36,2008ø
Royal Shuffle,Memphis,Jean-Jacques Milteau,150.9,0.376,0.36,2001ø
Rock n' Roll will Nerver Die,Soul Conversation,Jean-Jacques Milteau,237.4,0.376,0.36,2008ø
Popa Willie,Memphis,Jean-Jacques Milteau,326.0,0.376,0.36,2001ø
People Get Ready,Soul Conversation,Jean-Jacques Milteau,194.0,0.376,0.36,2008ø
Master Lester,Memphis,Jean-Jacques Milteau,239.2,0.376,0.36,2001ø
Marcelle & Marcel,Harmonicas,Jean-Jacques Milteau,157.3,0.376,0.36,2009ø
Lonely Crowd,Harmonicas,Jean-Jacques Milteau,273.0,0.376,0.36,2009ø
Le Wolf,Harmonicas,Jean-Jacques Milteau,229.8,0.376,0.36,2009ø
Jurong Bird Park,Harmonicas,Jean-Jacques Milteau,293.1,0.376,0.36,2009ø
Junior Parker,Memphis,Jean-Jacques Milteau,275.9,0.376,0.36,2001ø
It's so Real,Soul Conversation,Jean-Jacques Milteau,208.0,0.376,0.36,2008ø
If You Love Somebody Set Them Free,Memphis,Jean-Jacques Milteau,284.1,0.376,0.36,2001ø
Hole in the Wall (Burgers n' Blues),Soul Conversation,Jean-Jacques Milteau,147.9,0.376,0.36,2008ø
Fun Home,Harmonicas,Jean-Jacques Milteau,266.2,0.376,0.36,2009ø
Down in the Mississippi,Soul Conversation,Jean-Jacques Milteau,265.7,0.376,0.36,2008ø
Bordighera,Harmonicas,Jean-Jacques Milteau,212.3,0.376,0.36,2009ø
Blues Harp Saga,Harmonicas,Jean-Jacques Milteau,254.0,0.376,0.36,2009ø
Blue Hop,Harmonicas,Jean-Jacques Milteau,236.9,0.376,0.36,2009ø
