Tu M'Agaces,The Immortal Jeanne Moreau,Jeanne Moreau,100.0,0.528,0.339,1987ø
Trop Tard,Chante Norge,Jeanne Moreau,133.0,0.528,0.339,1994ø
Tout Morose,The Immortal Jeanne Moreau,Jeanne Moreau,132.7,0.528,0.339,1987ø
Tout Ce Que Je Veux,Les Chansons De Clarisse,Jeanne Moreau,105.8,0.528,0.339,1991ø
Rien N'Arrive Plus,The Immortal Jeanne Moreau,Jeanne Moreau,187.7,0.528,0.339,1987ø
Quelle Histoire,Jeanne Chante Jeanne,Jeanne Moreau,203.6,0.528,0.339,1991ø
Peuplades,Chante Norge,Jeanne Moreau,230.6,0.528,0.339,1994ø
On Dit Que Je Ne Suis Pas Sage,Jeanne Chante Jeanne,Jeanne Moreau,206.2,0.528,0.339,1991ø
Madame Augarita,Chante Norge,Jeanne Moreau,143.2,0.528,0.339,1994ø
Les Wagons Longs De Lit,The Immortal Jeanne Moreau,Jeanne Moreau,158.1,0.528,0.339,1994ø
Les Voyages,Jeanne Chante Jeanne,Jeanne Moreau,181.7,0.528,0.339,1991ø
Les Mensonges,The Immortal Jeanne Moreau,Jeanne Moreau,133.7,0.528,0.339,1987ø
Les Mains Sur Les Tempes,The Immortal Jeanne Moreau,Jeanne Moreau,135.8,0.528,0.339,1994ø
Les Ennuis Du Soleil,Les Chansons De Clarisse,Jeanne Moreau,99.2,0.528,0.339,1991ø
Le Mordeur,Chante Norge,Jeanne Moreau,165.8,0.528,0.339,1994ø
Le Blues Indolent,The Immortal Jeanne Moreau,Jeanne Moreau,198.1,0.528,0.339,1987ø
La Vie S'Envole,The Immortal Jeanne Moreau,Jeanne Moreau,91.4,0.528,0.339,1987ø
La Vie De Cocagne,The Immortal Jeanne Moreau,Jeanne Moreau,151.6,0.528,0.339,1987ø
La Politesse,Chante Norge,Jeanne Moreau,74.3,0.528,0.339,1994ø
La Peur,Chante Norge,Jeanne Moreau,116.7,0.528,0.339,1994ø
L'Homme D'Amour,The Immortal Jeanne Moreau,Jeanne Moreau,153.8,0.528,0.339,1987ø
Jamais Je Ne T'Ai Dit Que Je T'Aimerai Toujours,The Immortal Jeanne Moreau,Jeanne Moreau,206.7,0.528,0.339,2000ø
Jamais,Les Chansons De Clarisse,Jeanne Moreau,149.5,0.528,0.339,1991ø
J'Avais Un Ami,The Immortal Jeanne Moreau,Jeanne Moreau,186.6,0.528,0.339,1987ø
Fourmi,Chante Norge,Jeanne Moreau,113.9,0.528,0.339,1994ø
Fille D'Amour,Chante Norge,Jeanne Moreau,244.6,0.471,0.339,1994ø
Dans L'Eau Du Temps,Chante Norge,Jeanne Moreau,130.2,0.528,0.339,1994ø
Assez Dormi,Chante Norge,Jeanne Moreau,117.6,0.528,0.339,1994ø
