Uptown Express,Temptation,Jeff Golub,260.3,0.633,0.355,2005ø
The Way I Feel Tonight,Grand Central,Jeff Golub,338.7,0.633,0.355,2007ø
Stuffin' It,Grand Central,Jeff Golub,332.3,0.633,0.355,2007ø
Simple Pleasures,Temptation,Jeff Golub,240.0,0.633,0.355,2005ø
Playin' It Cool,Soul Sessions,Jeff Golub,291.2,0.633,0.355,2006ø
On The Wes Side,Temptation,Jeff Golub,265.5,0.633,0.355,2005ø
Metro Cafe,Temptation,Jeff Golub,309.8,0.633,0.355,2005ø
Mercy Mercy Me,Do It Again,Jeff Golub,230.8,0.633,0.355,2002ø
Lulu's Back,Grand Central,Jeff Golub,266.6,0.633,0.355,2007ø
Just For You,Temptation,Jeff Golub,265.7,0.633,0.355,2005ø
If You Want Me To Stay,Grand Central,Jeff Golub,360.4,0.633,0.355,2007ø
If I Ever Lose This Heaven,Do It Again,Jeff Golub,301.7,0.633,0.355,2002ø
Hello Betty,Grand Central,Jeff Golub,231.1,0.633,0.355,2007ø
Have You Heard?,Temptation,Jeff Golub,224.7,0.633,0.355,2005ø
Grand Central,Grand Central,Jeff Golub,252.9,0.633,0.355,2007ø
Evolution,Temptation,Jeff Golub,213.9,0.633,0.355,2005ø
Droptop,Dangerous Curves,Jeff Golub,352.1,0.633,0.355,2002ø
Cream And Sugar,Temptation,Jeff Golub,248.3,0.633,0.355,2005ø
Cadillac Jack,Jazz For The Road (Jazz Club),Jeff Golub,313.8,0.633,0.355,2006ø
Brooklyn Dreams,Grand Central,Jeff Golub,219.1,0.633,0.355,2007ø
