The Lights And Perfections,The Garden Of Forking Paths,Jefre Cantu-Ledesma,278.4,0.435,0.45,2007ø
Spirits,The Garden Of Forking Paths,Jefre Cantu-Ledesma,93.0,0.435,0.45,2007ø
Rhododendrons,The Garden Of Forking Paths,Jefre Cantu-Ledesma,175.5,0.435,0.45,2007ø
Phases Of The Moon,The Garden Of Forking Paths,Jefre Cantu-Ledesma,279.4,0.435,0.45,2007ø
Our Way Was Lit By Moonlight,The Garden Of Forking Paths,Jefre Cantu-Ledesma,383.6,0.435,0.45,2007ø
io,The Garden Of Forking Paths,Jefre Cantu-Ledesma,149.7,0.435,0.45,2007ø
Feast Of The Pentecost,The Garden Of Forking Paths,Jefre Cantu-Ledesma,420.9,0.435,0.45,2007ø
Farewell Transmission From The Holy Ghost,The Garden Of Forking Paths,Jefre Cantu-Ledesma,154.6,0.435,0.45,2007ø
Bay Of Pearls,The Garden Of Forking Paths,Jefre Cantu-Ledesma,330.5,0.435,0.45,2007ø
Autumn Equinox_ August Moon_ Coyolxaauhgui_ The Golden Bells,The Garden Of Forking Paths,Jefre Cantu-Ledesma,105.7,0.435,0.45,2007ø
Aberration Of Starlight,The Garden Of Forking Paths,Jefre Cantu-Ledesma,431.3,0.435,0.45,2007ø
