Travis,Jennifer Hanson,Jennifer Hanson,244.4,0.552,0.316,2003ø
This Far Gone,Jennifer Hanson,Jennifer Hanson,221.5,0.552,0.316,2003ø
Simply Yours,Jennifer Hanson,Jennifer Hanson,222.4,0.552,0.316,2003ø
One Little Word,Jennifer Hanson,Jennifer Hanson,230.9,0.552,0.316,2003ø
Just One Of Those Days,Jennifer Hanson,Jennifer Hanson,220.5,0.552,0.316,2003ø
It Isn't Just Raining,Jennifer Hanson,Jennifer Hanson,230.7,0.552,0.316,2003ø
Half A Heart Tattoo,Jennifer Hanson,Jennifer Hanson,237.8,0.552,0.316,2003ø
Get Yourself Back,Jennifer Hanson,Jennifer Hanson,236.9,0.552,0.316,2003ø
Beautiful Goodbye (Album Version),Jennifer Hanson,Jennifer Hanson,258.4,0.552,0.316,2003ø
Baby I Was Wrong,Jennifer Hanson,Jennifer Hanson,247.0,0.552,0.316,2003ø
All Those Yesterdays,Jennifer Hanson,Jennifer Hanson,270.2,0.552,0.316,2003ø
