World Without End,Forever Changing: The Golden Age Of Elektra Records 1963-1973,Jobriath,223.6,0.463,0.361,1973ø
What a Pretty,Creatures Of The Street,Jobriath,95.0,0.463,0.361,1974ø
Street Corner Love,Creatures Of The Street,Jobriath,167.0,0.463,0.361,1974ø
Sister Sue,Creatures Of The Street,Jobriath,185.6,0.463,0.361,1974ø
Scumbag,Creatures Of The Street,Jobriath,167.7,0.463,0.361,1974ø
Ooh La La [Reprise & Exit Music],Creatures Of The Street,Jobriath,164.6,0.463,0.361,1974ø
Ooh La La,Creatures Of The Street,Jobriath,247.5,0.463,0.361,1974ø
Liten Up,Creatures Of The Street,Jobriath,276.1,0.463,0.361,1974ø
Heartbeat,Creatures Of The Street,Jobriath,166.6,0.463,0.361,1974ø
Good Times,Creatures Of The Street,Jobriath,169.7,0.463,0.361,1974ø
Gone Tomorrow,Creatures Of The Street,Jobriath,220.9,0.463,0.361,1974ø
Ecubyan,Creatures Of The Street,Jobriath,157.4,0.463,0.361,1974ø
Dietrich / Fondyke [A Brief History Of Movie Music],Creatures Of The Street,Jobriath,122.4,0.463,0.361,1974ø
