You Poured Sugar On Me,I Can See Clearly Now,Johnny Nash,206.6,0.593,0.407,1972ø
You Got Soul,Ultimate 60s,Johnny Nash,158.8,0.593,0.407,1968ø
Wonderful World,The Best Of,Johnny Nash,183.9,0.593,0.407,1989ø
We're All Alike,I Can See Clearly Now,Johnny Nash,148.9,0.593,0.407,1972ø
There Are More Questions Than Answers,I Can See Clearly Now,Johnny Nash,167.3,0.593,0.407,1972ø
That's The Way We Get By,I Can See Clearly Now,Johnny Nash,173.3,0.593,0.407,1972ø
Tears On My Pillow (I Can't Take It),The Best Year Of My Life: 1975,Johnny Nash,194.4,0.593,0.407,1975ø
Tears On My Pillow,Johnny Nash Super Hits,Johnny Nash,194.5,0.593,0.407,1975ø
Stir It Up,This Is Reggae Music,Johnny Nash,184.2,0.593,0.407,1972ø
Reggae On Broadway,The Best Of,Johnny Nash,237.3,0.593,0.407,1975ø
Ooh What A Feeling,The Best Of,Johnny Nash,174.4,0.593,0.407,1989ø
Ooh Baby You've Been Good To Me,I Can See Clearly Now,Johnny Nash,152.1,0.593,0.407,1972ø
Love Ain't Nothing (But A Monkey On Your Back),A Decade Of Chicago's Finest,Johnny Nash,136.1,0.593,0.407,2004ø
Let's Be Friends,Johnny Nash Super Hits,Johnny Nash,172.1,0.593,0.407,1975ø
I Can See Clearly Now,This Is Reggae Music,Johnny Nash,164.4,0.593,0.407,1972ø
How Good It Is,I Can See Clearly Now,Johnny Nash,161.5,0.593,0.407,1972ø
Hold Me Tight,Collections,Johnny Nash,162.9,0.593,0.407,1968ø
Halfway To Paradise,The Best Of,Johnny Nash,182.0,0.593,0.407,1977ø
Guava Jelly,I Can See Clearly Now,Johnny Nash,194.3,0.593,0.407,1972ø
For Your Love,Johnny Nash Super Hits,Johnny Nash,231.9,0.593,0.407,2004ø
Dream Lover,The Best Of,Johnny Nash,163.8,0.593,0.407,1977ø
Cupid,Johnny Nash Super Hits,Johnny Nash,203.6,0.593,0.407,1968ø
Cream Puff,I Can See Clearly Now,Johnny Nash,136.6,0.593,0.407,1975ø
Comma Comma,I Can See Clearly Now,Johnny Nash,180.5,0.593,0.407,1972ø
All I Have To Do Is Dream,The Best Of,Johnny Nash,170.1,0.593,0.407,1977ø
(It Was) So Nice While It Lasted,I Can See Clearly Now,Johnny Nash,216.4,0.593,0.407,1972ø
