World Of Joy,Mind's Eye,Jon Lucien,301.3,0.497,0.345,1974ø
Who Will Buy?,I Am Now,Jon Lucien,144.1,0.497,0.345,1999ø
When The Morning Comes,Mind's Eye,Jon Lucien,270.3,0.497,0.345,1974ø
War Song,Rashida,Jon Lucien,198.5,0.497,0.345,1973ø
The Sound Of Music,I Am Now,Jon Lucien,227.3,0.497,0.345,1999ø
The Pleasure Of Your Garden,Mind's Eye,Jon Lucien,136.8,0.497,0.345,1974ø
Soul Chant,Mind's Eye,Jon Lucien,176.4,0.497,0.345,1974ø
So Little Time,Mind's Eye,Jon Lucien,181.8,0.497,0.345,1974ø
Shana,Rashida,Jon Lucien,199.2,0.497,0.345,1973ø
Satan,Rashida,Jon Lucien,219.8,0.497,0.345,1973ø
Rashida,Quiet Storm Slow Jams,Jon Lucien,415.4,0.497,0.345,1973ø
Luella,Rashida,Jon Lucien,232.5,0.497,0.345,1973ø
Love Everlasting,The Masters Series: Mellow Groove Vol.2,Jon Lucien,193.2,0.497,0.345,1973ø
Lady Love,Rashida,Jon Lucien,300.1,0.497,0.345,1973ø
Kuenda,Rashida,Jon Lucien,191.2,0.497,0.345,1973ø
Ghetto Song,Mind's Eye,Jon Lucien,145.0,0.497,0.345,1974ø
Esperanza,Rashida,Jon Lucien,248.8,0.497,0.345,1973ø
Dindi,Smooth Jazz:  Pure Pleasure,Jon Lucien,434.7,0.497,0.345,1999ø
Adoration,Mind's Eye,Jon Lucien,291.6,0.497,0.345,1974ø
