Who Will Take Care Of Me,Secada,Jon Secada,210.8,0.656,0.476,1997ø
Whipped,Heart_ Soul & A Voice,Jon Secada,272.6,0.656,0.476,1994ø
Where Do I Go From You,Heart_ Soul & A Voice,Jon Secada,264.9,0.656,0.476,1994ø
Vivo Por Ti,Lo Esencial,Jon Secada,274.1,0.656,0.476,1997ø
Tuyo (Take Me),Heart_ Soul & A Voice,Jon Secada,258.7,0.656,0.476,1994ø
Tu Mejor Amigo,Lo Esencial,Jon Secada,212.4,0.656,0.476,1992ø
Tu Amor Es Mi Libertad,Otro Dia Mas Sin Verte,Jon Secada,245.4,0.656,0.476,1992ø
Too Late_ Too Soon (Crossover Edit),Secada,Jon Secada,269.7,0.656,0.476,1997ø
Too Late_ Too Soon,Secada,Jon Secada,255.3,0.656,0.476,1997ø
Time Heals,Jon Secada,Jon Secada,264.8,0.656,0.476,1992ø
Tiempo Al Tiempo,Otro Dia Mas Sin Verte,Jon Secada,269.2,0.656,0.476,1992ø
The Christmas Gift I Want,The Gift,Jon Secada,254.1,0.656,0.476,2009ø
Take Me,Heart_ Soul & A Voice,Jon Secada,299.4,0.656,0.476,1994ø
Stay,Heart_ Soul & A Voice,Jon Secada,245.2,0.656,0.476,1994ø
Sentir,Otro Dia Mas Sin Verte,Jon Secada,242.8,0.656,0.476,1992ø
Ready For Love,Secada,Jon Secada,222.0,0.656,0.476,1997ø
Perdoname Conciencia,Otro Dia Mas Sin Verte,Jon Secada,202.0,0.656,0.476,1992ø
O Holy Night,The Gift,Jon Secada,249.8,0.656,0.476,1997ø
Misunderstood,Jon Secada,Jon Secada,262.2,0.656,0.476,1992ø
Mental Picture,Heart_ Soul & A Voice,Jon Secada,259.3,0.656,0.476,1994ø
La Magia De Tu Amor,Lo Esencial,Jon Secada,275.8,0.656,0.476,1997ø
Just Another Day (Radio Edit),Now That's What I Call Love,Jon Secada,256.0,0.656,0.476,2008ø
Just Another Day,Lo Esencial,Jon Secada,326.6,0.656,0.476,1992ø
It's Enough,Secada,Jon Secada,235.1,0.656,0.476,1997ø
If You Go,Lo Esencial,Jon Secada,274.8,0.656,0.476,1994ø
I'm Free,Jon Secada,Jon Secada,240.9,0.656,0.476,1992ø
I Live For You,Secada,Jon Secada,264.4,0.656,0.476,1997ø
Heaven Is You,Secada,Jon Secada,282.4,0.656,0.476,1997ø
Good Feelings,Heart_ Soul & A Voice,Jon Secada,241.2,0.656,0.476,1994ø
Get Me Over You,Secada,Jon Secada,238.0,0.656,0.476,1997ø
Forever (Is As Long As It Lasts),Secada,Jon Secada,283.8,0.656,0.476,1997ø
Fat Chance,Heart_ Soul & A Voice,Jon Secada,251.1,0.656,0.476,1994ø
Eyes Of A Fool,Heart_ Soul & A Voice,Jon Secada,247.5,0.656,0.476,1994ø
Ensename,Otro Dia Mas Sin Verte,Jon Secada,312.1,0.656,0.476,1992ø
Dreams That I Carry,Jon Secada,Jon Secada,286.1,0.656,0.476,1992ø
Don't Be Silly,Heart_ Soul & A Voice,Jon Secada,246.6,0.656,0.476,1994ø
Do You Really Want Me,Jon Secada,Jon Secada,244.7,0.656,0.476,1992ø
Do You Believe In Us,Jon Secada,Jon Secada,239.3,0.656,0.476,1992ø
Cree En Nuestro Amor,Otro Dia Mas Sin Verte,Jon Secada,243.8,0.656,0.476,1992ø
Angel,Serie Verde- Jon Secada,Jon Secada,277.1,0.656,0.476,1992ø
Amandolo,Secada,Jon Secada,232.0,0.656,0.476,1997ø
Always Something (Live),Jon Secada,Jon Secada,253.1,0.656,0.476,1992ø
Alma Con Alma,Grandes Exitos,Jon Secada,224.6,0.656,0.476,1999ø
After All Is Said And Done,Secada,Jon Secada,264.5,0.656,0.476,1997ø
