Voodoo House,Gambit,Julien Lourau,318.1,0.482,0.436,2000ø
Tu mi turbi,The Rise,Julien Lourau,356.6,0.482,0.436,2002ø
The Rise,The Rise,Julien Lourau,446.0,0.482,0.436,2002ø
El gato porteno,The Rise,Julien Lourau,332.2,0.482,0.436,2002ø
Candombe (Percussion),Gambit,Julien Lourau,53.0,0.482,0.436,2000ø
Candombe (Intro),Gambit,Julien Lourau,87.7,0.482,0.436,2000ø
Bulkamer,The Rise,Julien Lourau,459.5,0.482,0.436,2002ø
A Stitch In Time,Fire 1,Julien Lourau,544.4,0.482,0.436,2005ø
Ve-vor,Forget 2,Julien Lourau,399.2,0.482,0.389,2005ø
Tu mi turbi (Intro),The Rise,Julien Lourau,132.2,0.482,0.389,2002ø
The Saloon (Life Is Just a Game),The Rise,Julien Lourau,258.0,0.482,0.389,2002ø
Marthe Et La Jungle,Gambit,Julien Lourau,522.2,0.482,0.389,2000ø
Lonely Night,Gambit,Julien Lourau,414.0,0.482,0.389,2000ø
Lisa et Flavio,Forget 2,Julien Lourau,120.8,0.482,0.389,2005ø
La boucle,Fire 1,Julien Lourau,468.0,0.482,0.389,2005ø
Kenyatta,The Rise,Julien Lourau,357.1,0.482,0.389,2002ø
I'd Rather Not,Forget 2,Julien Lourau,275.4,0.482,0.389,2005ø
Hulio's Blues,The Rise,Julien Lourau,391.0,0.482,0.389,2002ø
Ginger Bread,The Rise,Julien Lourau,405.5,0.482,0.389,2002ø
Fire and Forget,Fire 1,Julien Lourau,365.9,0.482,0.389,2005ø
Don't Save Me,Fire 1,Julien Lourau,275.6,0.482,0.389,2005ø
Diaspora,Forget 2,Julien Lourau,248.6,0.482,0.389,2005ø
Dark,Gambit,Julien Lourau,104.3,0.482,0.389,2000ø
Contigo en la distancia,The Rise,Julien Lourau,320.3,0.482,0.389,2002ø
Conrod,Gambit,Julien Lourau,516.5,0.482,0.389,2000ø
Collateral Dammage,Forget 2,Julien Lourau,592.2,0.482,0.389,2005ø
Candombe (Transe),Gambit,Julien Lourau,66.1,0.482,0.389,2000ø
Candombe,Gambit,Julien Lourau,479.1,0.482,0.389,2000ø
Bigger Than Life,Forget 2,Julien Lourau,270.8,0.482,0.389,2005ø
Anda_ jaleo,The Rise,Julien Lourau,382.7,0.482,0.389,2002ø
Agua,Gambit,Julien Lourau,489.8,0.482,0.389,2000ø
