Yippee Space Ghost,Ex-Aquarium,Kelpe,327.5,0.203,0.464,2008ø
Whirlwound [Kelpe Stormy Version],Extraquarium,Kelpe,302.9,0.345,0.464,2008ø
Waval Gust (Single Version),The People Are Trying To Sleep,Kelpe,318.6,0.345,0.464,2003ø
Under,Ex-Aquarium,Kelpe,103.7,0.345,0.464,2008ø
There's A Sea In Your Body (Album Version),Sea Inside Body,Kelpe,271.3,0.345,0.464,2004ø
Sylvannia (Album Version),Sea Inside Body,Kelpe,245.4,0.345,0.464,2004ø
Sunken Centre,Ex-Aquarium,Kelpe,56.2,0.345,0.464,2008ø
Stop Parching Yourself,Ex-Aquarium,Kelpe,48.1,0.345,0.464,2008ø
Skylla,Ex-Aquarium,Kelpe,345.8,0.345,0.464,2008ø
Sickly Situation (Album Version),Sea Inside Body,Kelpe,295.5,0.203,0.464,2004ø
Shipwreck Glue [Wes Coats Remix],Extraquarium,Kelpe,291.9,0.345,0.464,2008ø
Shipwreck Glue [Kelpe Extraversion],Extraquarium,Kelpe,371.0,0.345,0.464,2008ø
Shipwreck Glue [Architeq Version],Extraquarium,Kelpe,293.3,0.345,0.464,2008ø
Quick Broken Harp (Single Version),Sunburnt Eyelids,Kelpe,112.4,0.345,0.464,2005ø
Pinch And Flare,Ex-Aquarium,Kelpe,342.8,0.345,0.464,2008ø
Petrified (Album Version),Sea Inside Body,Kelpe,308.5,0.345,0.464,2004ø
Panpipe Dreams [Goodnight] (Album Version),Sea Inside Body,Kelpe,78.9,0.345,0.464,2004ø
Overland But Underwater (Album Version),Sea Inside Body,Kelpe,280.1,0.345,0.464,2004ø
Over,Ex-Aquarium,Kelpe,55.6,0.345,0.464,2008ø
Nat's Twirly Mug (Album Version),Sea Inside Body,Kelpe,225.4,0.345,0.464,2004ø
Keep Danger (Album Version),Sea Inside Body,Kelpe,262.5,0.345,0.464,2004ø
Half Broken Harp,Ex-Aquarium,Kelpe,257.3,0.345,0.464,2008ø
Growth (Album Version),Sea Inside Body,Kelpe,107.0,0.345,0.464,2004ø
Grappling Hook (Album Version),Sea Inside Body,Kelpe,242.0,0.345,0.464,2004ø
Cut It Upwards [The Oscillation Sub-aquatic Remix],Extraquarium,Kelpe,362.1,0.345,0.464,2008ø
Cross Legged Breakfast (Single Version),Sunburnt Eyelids,Kelpe,278.0,0.345,0.464,2005ø
Colours Don't Leak [the Boats Remix],Extraquarium,Kelpe,245.4,0.345,0.464,2008ø
Colours Don't Leak,Ex-Aquarium,Kelpe,399.8,0.345,0.464,2008ø
Care Of Presto Mini (Album Version),Sea Inside Body,Kelpe,144.3,0.345,0.464,2004ø
Brockholes (Single Version),The People Are Trying To Sleep,Kelpe,357.8,0.345,0.464,2003ø
Bread Machine Bred,Ex-Aquarium,Kelpe,254.8,0.545,0.464,2008ø
Babycom (Single Version),The People Are Trying To Sleep,Kelpe,294.0,0.345,0.464,2003ø
Age Sculpture (Album Version),Sea Inside Body,Kelpe,323.2,0.345,0.464,2004ø
Age Concerns (Album Version),Sea Inside Body,Kelpe,120.4,0.345,0.464,2004ø
