Tengo Ganas,El Decreto,Kinito Mendez,291.6,0.405,0.398,1997ø
Los Nervios,D'Colores,Kinito Mendez,264.0,0.405,0.398,2000ø
Los Hombres Altos,D'Colores,Kinito Mendez,269.4,0.405,0.398,2000ø
El Tamarindo,Los Exitos de Kinito Mendez,Kinito Mendez,298.9,0.405,0.398,2008ø
El Suero De Amor,El Decreto,Kinito Mendez,280.7,0.405,0.398,1997ø
El Juda y La Juda,D'Colores,Kinito Mendez,274.3,0.405,0.398,2000ø
El Decreto,El Decreto,Kinito Mendez,294.5,0.405,0.398,1997ø
El Cuabero,A Caballo...,Kinito Mendez,259.5,0.405,0.398,1998ø
El Chivo Conuquero,El Decreto,Kinito Mendez,283.4,0.405,0.398,1997ø
El Baile Del Sua Sua,Fiestarengue Live From Puerto Rico,Kinito Mendez,193.7,0.405,0.398,1997ø
El asilo,2 Grandes del Merengue Vol. 2,Kinito Mendez,296.3,0.405,0.398,1995ø
Amores De Colores,D'Colores,Kinito Mendez,274.4,0.405,0.398,2000ø
A Caballo,A Caballo...,Kinito Mendez,281.6,0.405,0.398,1998ø
