True Love Is The Oldest Fear,Just in case we'll never meet again (Soundtrack for the cassette generation),Klimt 1918,254.4,0.585,0.424,2008ø
They Were Wed By The Sea,Dopoguerra (Luxus Edition),Klimt 1918,275.6,0.585,0.424,2005ø
The Graduate,Just in case we'll never meet again (Soundtrack for the cassette generation),Klimt 1918,358.3,0.585,0.424,2008ø
The Breathtaking Days (Via Lactea),Just in case we'll never meet again (Soundtrack for the cassette generation),Klimt 1918,219.4,0.585,0.424,2008ø
Suspense Music,Just in case we'll never meet again (Soundtrack for the cassette generation),Klimt 1918,240.8,0.585,0.424,2008ø
Sleepwalk In Rome,Dopoguerra (Luxus Edition),Klimt 1918,328.8,0.585,0.424,2005ø
Skygazer,Just in case we'll never meet again (Soundtrack for the cassette generation),Klimt 1918,283.3,0.585,0.424,2008ø
Rachel,Dopoguerra (Luxus Edition),Klimt 1918,296.7,0.585,0.424,2005ø
Nightdriver,Dopoguerra (Luxus Edition),Klimt 1918,354.5,0.585,0.424,2005ø
Never Ever,Dopoguerra (Luxus Edition),Klimt 1918,268.2,0.585,0.424,2005ø
Lomo,Dopoguerra (Luxus Edition),Klimt 1918,228.4,0.585,0.424,2005ø
La Tregua,Dopoguerra (Luxus Edition),Klimt 1918,218.5,0.585,0.424,2005ø
Just In Case We'll Never Meet Again,Just in case we'll never meet again (Soundtrack for the cassette generation),Klimt 1918,226.8,0.585,0.424,2008ø
Just An Interlude In Your Life,Just in case we'll never meet again (Soundtrack for the cassette generation),Klimt 1918,327.0,0.585,0.424,2008ø
Ghost Of A Tape Listener,Ghost of a Tape Listener,Klimt 1918,278.1,0.585,0.424,2008ø
Dopoguerra,Dopoguerra (Luxus Edition),Klimt 1918,209.5,0.585,0.424,2005ø
Disco Awayness,Just in case we'll never meet again (Soundtrack for the cassette generation),Klimt 1918,245.9,0.585,0.424,2008ø
Cry A Little,Dopoguerra (Luxus Edition),Klimt 1918,293.8,0.585,0.424,2005ø
Blackeberg 1981,Ghost of a Tape Listener,Klimt 1918,277.3,0.585,0.424,2009ø
Atget,Just in case we'll never meet again (Soundtrack for the cassette generation),Klimt 1918,295.4,0.585,0.424,2008ø
All Summer Long,Just in case we'll never meet again (Soundtrack for the cassette generation),Klimt 1918,272.9,0.585,0.424,2008ø
_,Dopoguerra (Luxus Edition),Klimt 1918,76.6,0.585,0.424,2005ø
