To The Meadows,Main Source (A Cappella),Large Professor,60.7,0.57,0.373,2008ø
The Entrance,Main Source (Clean),Large Professor,135.2,0.57,0.373,2008ø
Sewin' Love ,Main Source (Clean),Large Professor,178.1,0.57,0.373,2008ø
Sewin' Love,Main Source (A Cappella),Large Professor,211.3,0.57,0.373,2008ø
Rockin' Hip Hop,Main Source (A Cappella),Large Professor,95.0,0.57,0.373,2008ø
Party Time ,Main Source (Clean),Large Professor,164.6,0.57,0.373,2008ø
Party Time,Main Source (A Cappella),Large Professor,168.2,0.57,0.373,2008ø
Large Pro Says,Main Source (A Cappella),Large Professor,122.2,0.57,0.373,2008ø
In The Ghetto,Main Source (A Cappella),Large Professor,135.7,0.57,0.373,2008ø
Hardcore Hip Hop ,Main Source,Large Professor,198.5,0.57,0.373,2008ø
Hardcore Hip Hop,Main Source (Clean),Large Professor,78.7,0.57,0.373,2008ø
Frantic Barz,Main Source (A Cappella),Large Professor,162.5,0.57,0.373,2008ø
Classic Emergency ,Main Source,Large Professor,151.9,0.57,0.373,2008ø
Classic Emergency,Main Source (A Cappella),Large Professor,155.4,0.57,0.373,2008ø
Blaze Rhymez,Blaze Rhymez,Large Professor,259.1,0.57,0.373,2001ø
