Ya Mar,Sixty Six Steps,Leo Kottke & Mike Gordon,301.6,0.426,0.426,2005ø
Twice,Sixty Six Steps,Leo Kottke & Mike Gordon,250.0,0.426,0.426,2005ø
The Grid,Sixty Six Steps,Leo Kottke & Mike Gordon,197.9,0.426,0.426,2005ø
Sweet Emotion,Sixty Six Steps,Leo Kottke & Mike Gordon,332.4,0.426,0.426,2005ø
Rings,Sixty Six Steps,Leo Kottke & Mike Gordon,270.5,0.426,0.426,2003ø
Living In The Country,Sixty Six Steps,Leo Kottke & Mike Gordon,231.4,0.426,0.426,2005ø
From Spink to Correctionville,Sixty Six Steps,Leo Kottke & Mike Gordon,148.2,0.426,0.426,2005ø
Cherry County,Sixty Six Steps,Leo Kottke & Mike Gordon,150.6,0.426,0.426,2005ø
Can't Hang,Sixty Six Steps,Leo Kottke & Mike Gordon,114.7,0.426,0.426,2005ø
Balloon,Sixty Six Steps,Leo Kottke & Mike Gordon,206.1,0.426,0.426,2005ø
