Walking with JB,Five men swinging,Les pommes de ma douche,199.6,0.433,0.343,2010ø
Taps Miller,Five men swinging,Les pommes de ma douche,224.3,0.433,0.343,2010ø
Stompin At The Savoy,Five men swinging,Les pommes de ma douche,221.2,0.433,0.343,2010ø
Sixteen Men Swinging,Five men swinging,Les pommes de ma douche,228.6,0.433,0.343,2010ø
Rythme gitan,Five men swinging,Les pommes de ma douche,165.5,0.433,0.343,2010ø
Revoir Paris,Swing from Paris,Les pommes de ma douche,304.2,0.433,0.343,2004ø
Night & Day,Five men swinging,Les pommes de ma douche,215.2,0.433,0.343,2010ø
Mannix,Five men swinging,Les pommes de ma douche,163.8,0.433,0.343,2010ø
Lady Is A Tramp,Five men swinging,Les pommes de ma douche,292.7,0.433,0.343,2010ø
Four Brothers,Five men swinging,Les pommes de ma douche,215.8,0.433,0.343,2010ø
Americano,Five men swinging,Les pommes de ma douche,189.3,0.433,0.343,2010ø
