Worship The Lords (2001 Digital Remaster),Farstucker,Lords Of Acid,227.7,0.601,0.404,2001ø
The Power Is Mine,Our Little Secret,Lords Of Acid,261.5,0.601,0.404,1997ø
The Most Wonderful Girl,Private Parts,Lords Of Acid,215.8,0.601,0.404,1991ø
Take Off (2001 Digital Remaster),Farstucker,Lords Of Acid,66.2,0.601,0.404,2001ø
Surfin' Muncheez (2001 Digital Remaster),Farstucker,Lords Of Acid,97.9,0.601,0.404,2001ø
Stripper (2001 Digital Remaster),Farstucker,Lords Of Acid,215.6,0.601,0.404,2001ø
Stoned On Love Again,Private Parts,Lords Of Acid,248.8,0.601,0.404,2002ø
Spank My Booty,Our Little Secret,Lords Of Acid,231.1,0.601,0.404,1997ø
Slave To Love (2001 Digital Remaster),Farstucker,Lords Of Acid,205.0,0.601,0.404,2001ø
Sex Bomb (2001 Digital Remaster),Farstucker,Lords Of Acid,216.1,0.601,0.404,2001ø
Scrood Bi U (2001 Digital Remaster),Farstucker,Lords Of Acid,281.8,0.601,0.404,2001ø
Rubber Doll,Private Parts,Lords Of Acid,193.0,0.601,0.404,1997ø
Rover Take Over (2001 Digital Remaster),Farstucker,Lords Of Acid,213.9,0.601,0.404,2001ø
Pussy (Disco D Remix),A Night At the Booty Bar,Lords Of Acid,147.7,0.601,0.404,2002ø
Pussy,Private Parts,Lords Of Acid,254.8,0.601,0.404,1997ø
Pain & Pleasure Concerto (2001 Digital Remaster),Farstucker,Lords Of Acid,106.6,0.601,0.404,2001ø
Nasty Love,Private Parts,Lords Of Acid,250.4,0.601,0.404,2002ø
Me And Myself,Our Little Secret,Lords Of Acid,255.4,0.601,0.404,1997ø
Man's Best Friend,Our Little Secret,Lords Of Acid,193.0,0.601,0.404,1997ø
LSD=Truth,Private Parts,Lords Of Acid,268.9,0.601,0.404,2002ø
LSD = Truth,Our Little Secret,Lords Of Acid,270.3,0.601,0.404,1997ø
Lover Boy Lover Girl (2001 Digital Remaster),Farstucker,Lords Of Acid,202.6,0.259,0.404,2001ø
Lover,Private Parts,Lords Of Acid,234.7,0.601,0.404,1997ø
Lick My Chakra (2001 Digital Remaster),Farstucker,Lords Of Acid,85.6,0.601,0.404,2001ø
Let's Get High (Rob Swift Rmx_ Expand Your Head),Private Parts,Lords Of Acid,189.6,0.601,0.404,2002ø
Kiss Eternal (2001 Digital Remaster),Farstucker,Lords Of Acid,268.1,0.601,0.404,2001ø
I Sit On Acid 2000 (2001 Digital Remaster),Farstucker,Lords Of Acid,158.2,0.601,0.404,2001ø
I Sit On Acid (Original) (2002 Digital Remaster),Private Parts,Lords Of Acid,345.4,0.601,0.404,2002ø
I Like It (2001 Digital Remaster),Farstucker,Lords Of Acid,175.4,0.601,0.404,2001ø
Glad I'm Not God! (2001 Digital Remaster),Farstucker,Lords Of Acid,214.7,0.601,0.404,2001ø
Gimme_ Gimme,Private Parts,Lords Of Acid,224.8,0.601,0.404,2002ø
Get Up Get High (2001 Digital Remaster),Farstucker,Lords Of Acid,248.3,0.601,0.404,2001ø
Fingerlicking Good,Private Parts,Lords Of Acid,224.4,0.601,0.404,2002ø
Fingerlickin' Good,Our Little Secret,Lords Of Acid,225.9,0.601,0.404,1997ø
Feed My Hungry Soul (2001 Digital Remaster),Farstucker,Lords Of Acid,262.7,0.601,0.404,2001ø
Doggie Tom,Our Little Secret,Lords Of Acid,227.4,0.601,0.404,1997ø
Deep Sexy Space,Our Little Secret,Lords Of Acid,146.4,0.601,0.404,1997ø
Dark Lover Rising (2001 Digital Remaster),Farstucker,Lords Of Acid,92.9,0.601,0.404,2001ø
Cybersex,Our Little Secret,Lords Of Acid,248.7,0.601,0.404,1997ø
Crablouse,Private Parts,Lords Of Acid,251.4,0.601,0.404,2002ø
Am I Sexy,Private Parts,Lords Of Acid,213.3,0.601,0.404,2002ø
A Ride With Satan's Little Helpers (2001 Digital Remaster),Farstucker,Lords Of Acid,94.4,0.601,0.404,2001ø
