Vil Du Ikke Engang Kysse Mig Farvel?,DK,Love Shop,159.4,0.414,0.358,1992ø
Til Stjernerne,1990,Love Shop,251.4,0.414,0.358,1990ø
Stjerner Der Falder,Billeder Af Verden,Love Shop,309.2,0.414,0.358,1994ø
Stalingrad,DK,Love Shop,265.6,0.414,0.358,1992ø
Skudt Ned,Billeder Af Verden,Love Shop,257.3,0.414,0.358,1994ø
Sendt Fra Himlen,Go,Love Shop,284.3,0.414,0.358,1997ø
Radio Kalundborg,1990,Love Shop,182.6,0.414,0.358,1990ø
Pia Larsen,DK,Love Shop,301.2,0.414,0.358,1992ø
Min Pizza-Ven,Billeder Af Verden,Love Shop,241.4,0.414,0.358,1994ø
Min Elvis,Det Lose Live,Love Shop,347.6,0.414,0.358,1999ø
Manchester,DK,Love Shop,262.6,0.414,0.358,1992ø
Love Goes On Forever,Go,Love Shop,191.0,0.414,0.358,1997ø
Livet Er En Fest,DK,Love Shop,205.8,0.414,0.358,1992ø
Krig & Ro (Ro),Billeder Af Verden,Love Shop,168.5,0.414,0.358,1994ø
Krig & Ro (Krig),Billeder Af Verden,Love Shop,178.8,0.414,0.358,1994ø
Jeg Var Bare En Country Boy,Det Lose Live,Love Shop,216.4,0.414,0.358,1999ø
I Den Ny By,1990,Love Shop,199.1,0.414,0.358,1990ø
Himlen Vil Briste,DK,Love Shop,293.3,0.414,0.358,1992ø
Glimmer Show,Go,Love Shop,281.9,0.414,0.358,1997ø
Gin + Tonic,Billeder Af Verden,Love Shop,258.9,0.414,0.358,1994ø
For Evigt For Altid,Det Lose Live,Love Shop,315.7,0.414,0.358,1999ø
Fan Star,Go,Love Shop,278.5,0.414,0.358,1997ø
En Nat Bliver Det Sommer,1990,Love Shop,308.2,0.414,0.358,1990ø
Det Elsker Jeg,Billeder Af Verden,Love Shop,315.9,0.414,0.358,1994ø
Copenhagen Dreaming,Go,Love Shop,245.9,0.414,0.358,1997ø
Casanegra,DK,Love Shop,260.4,0.414,0.358,1992ø
Birgittelyst,Det Lose Live,Love Shop,190.1,0.414,0.358,1999ø
Billeder Af Verden,Billeder Af Verden,Love Shop,300.5,0.414,0.358,1994ø
Alt Skal Bort,Billeder Af Verden,Love Shop,249.1,0.414,0.358,1994ø
Alt Jeg Ser er Hendes Ryg,1990,Love Shop,131.8,0.414,0.358,1990ø
