Venus In The Evening I Have Disappeared Again,Low Low Low La La La Love Love Love,Low Low Low La La La Love Love Love,189.8,0.56,0.313,2007ø
Turn For The Day,Ends Of June,Low Low Low La La La Love Love Love,169.9,0.56,0.313,2007ø
The Way You Play,Ends Of June,Low Low Low La La La Love Love Love,240.9,0.56,0.313,2007ø
The Messy One,Ends Of June,Low Low Low La La La Love Love Love,227.4,0.56,0.313,2007ø
The Cars And The Storm,Low Low Low La La La Love Love Love,Low Low Low La La La Love Love Love,226.4,0.56,0.313,2007ø
Roadkill Moon,Low Low Low La La La Love Love Love,Low Low Low La La La Love Love Love,284.1,0.56,0.313,2007ø
Rest Your Arms,Low Low Low La La La Love Love Love,Low Low Low La La La Love Love Love,205.6,0.56,0.313,2007ø
Only Let Things Be,Low Low Low La La La Love Love Love,Low Low Low La La La Love Love Love,157.3,0.56,0.313,2007ø
One Piece,Low Low Low La La La Love Love Love,Low Low Low La La La Love Love Love,204.9,0.56,0.313,2007ø
One Good Thing I Say,Low Low Low La La La Love Love Love,Low Low Low La La La Love Love Love,277.7,0.56,0.313,2007ø
My Ears Are For Listening,Ends Of June,Low Low Low La La La Love Love Love,276.5,0.56,0.313,2007ø
Mayfly,Mayfly,Low Low Low La La La Love Love Love,225.1,0.56,0.313,2007ø
Lost And You,Low Low Low La La La Love Love Love,Low Low Low La La La Love Love Love,193.8,0.56,0.313,2007ø
Iron In The Soul,Ends Of June,Low Low Low La La La Love Love Love,223.2,0.56,0.313,2007ø
Happiness At The New Day,Ends Of June,Low Low Low La La La Love Love Love,260.7,0.56,0.313,2007ø
Goodnight Louisa,Ends Of June,Low Low Low La La La Love Love Love,195.4,0.56,0.313,2007ø
Flickering And Fading,Low Low Low La La La Love Love Love,Low Low Low La La La Love Love Love,203.4,0.56,0.313,2007ø
Fear Of A Wide Open Life,Ends Of June,Low Low Low La La La Love Love Love,302.1,0.56,0.313,2007ø
Ends of June,Ends Of June,Low Low Low La La La Love Love Love,276.7,0.56,0.313,2007ø
Black Black Window,Ends Of June,Low Low Low La La La Love Love Love,209.9,0.56,0.313,2007ø
Apart,Low Low Low La La La Love Love Love,Low Low Low La La La Love Love Love,157.3,0.56,0.313,2007ø
A Long Retreat,Low Low Low La La La Love Love Love,Low Low Low La La La Love Love Love,246.5,0.56,0.313,2007ø
