Yellow In Blue,Medicine 4 My Pain,Lynden David Hall,247.8,0.56,0.406,1997ø
There Goes My Sanity (Full Crew Mix),Medicine 4 My Pain,Lynden David Hall,240.5,0.56,0.406,1997ø
There Goes My Sanity,Medicine 4 My Pain,Lynden David Hall,316.1,0.56,0.406,1997ø
The Jimmy Lee Story,Medicine 4 My Pain,Lynden David Hall,285.5,0.56,0.406,1997ø
Stay Faithful,Dear Summer,Lynden David Hall,201.1,0.56,0.406,2005ø
Sleeping With Victor,The Other Side,Lynden David Hall,215.1,0.56,0.406,2000ø
Sexy Cinderella (C&J Remix),Sexy Cinderella,Lynden David Hall,243.1,0.56,0.406,1997ø
Sexy Cinderella,Medicine 4 My Pain,Lynden David Hall,280.7,0.56,0.406,1997ø
Livin' The Lie,Medicine 4 My Pain,Lynden David Hall,311.8,0.56,0.406,1997ø
Jennifer Smiles,Medicine 4 My Pain,Lynden David Hall,260.5,0.56,0.406,1997ø
I Wish I Knew,Medicine 4 My Pain,Lynden David Hall,268.5,0.56,0.406,1997ø
Forgive Me,The Other Side,Lynden David Hall,236.8,0.56,0.406,2001ø
Do I Qualify?,Medicine 4 My Pain,Lynden David Hall,287.2,0.56,0.406,1997ø
Do Angels Cry,Medicine 4 My Pain,Lynden David Hall,249.4,0.56,0.406,1997ø
Day Off,Dear Summer,Lynden David Hall,186.3,0.56,0.406,2005ø
Crescent Moon,Medicine 4 My Pain,Lynden David Hall,312.9,0.56,0.406,1997ø
100 Heart Attacks,Medicine 4 My Pain,Lynden David Hall,283.9,0.56,0.406,1997ø
