Your Moonpie Eye,Major Organ And The Adding Machine,Major Organ And The Adding Machine,77.5,0.485,0.38,2001ø
When Father Was Away On Business,Major Organ And The Adding Machine,Major Organ And The Adding Machine,126.4,0.485,0.38,2001ø
Water Dripping On Bread Makes Bread Taste Not So Tasty.,Major Organ And The Adding Machine,Major Organ And The Adding Machine,129.8,0.485,0.38,2001ø
Walking In The Sun,Major Organ And The Adding Machine,Major Organ And The Adding Machine,79.8,0.485,0.38,2001ø
Un_ Deux_ Trois,Major Organ And The Adding Machine,Major Organ And The Adding Machine,237.7,0.485,0.38,2001ø
Transmission,Major Organ And The Adding Machine,Major Organ And The Adding Machine,141.7,0.485,0.38,2001ø
The Snack Bar,Major Organ And The Adding Machine,Major Organ And The Adding Machine,60.6,0.485,0.38,2001ø
The Fireman's Guitar,Major Organ And The Adding Machine,Major Organ And The Adding Machine,49.9,0.485,0.38,2001ø
Swimming_ Laughing_ Playing,Major Organ And The Adding Machine,Major Organ And The Adding Machine,49.3,0.485,0.38,2001ø
Moonpie Eye Sensation,Major Organ And The Adding Machine,Major Organ And The Adding Machine,215.8,0.485,0.38,2001ø
Madam Truffle,Major Organ And The Adding Machine,Major Organ And The Adding Machine,170.7,0.485,0.38,2001ø
Life Forms (Transmission Received),Major Organ And The Adding Machine,Major Organ And The Adding Machine,265.5,0.485,0.38,2001ø
Kissing Behind The Rubbery Grinder,Major Organ And The Adding Machine,Major Organ And The Adding Machine,46.1,0.485,0.38,2001ø
His Mister's Pet Whistles,Major Organ And The Adding Machine,Major Organ And The Adding Machine,138.2,0.485,0.38,2001ø
Francisco's Victory,Major Organ And The Adding Machine,Major Organ And The Adding Machine,58.5,0.485,0.38,2001ø
Do The Moonpie Eye,Major Organ And The Adding Machine,Major Organ And The Adding Machine,87.5,0.485,0.38,2001ø
Barry's Lung,Major Organ And The Adding Machine,Major Organ And The Adding Machine,111.9,0.485,0.38,2001ø
