Yo_ I Killed Your God,Requiem for What's-His-Name,Marc Ribot,155.6,0.586,0.464,1992ø
While My Guitar Gently Weeps,Rootless Cosmopolitans,Marc Ribot,122.6,0.586,0.464,1990ø
The Wind Cries Mary,Rootless Cosmopolitans,Marc Ribot,303.2,0.586,0.464,1990ø
The Cocktail Party,Rootless Cosmopolitans,Marc Ribot,300.5,0.586,0.464,1990ø
Spirits,Spiritual Unity,Marc Ribot,506.4,0.586,0.464,2005ø
Shortly After Takeoff,Rootless Cosmopolitans,Marc Ribot,253.6,0.586,0.464,1990ø
Saints,Spiritual Unity,Marc Ribot,403.1,0.586,0.464,2001ø
Requiem for What's-His-Name,Requiem for What's-His-Name,Marc Ribot,270.2,0.586,0.464,1992ø
Pony,Requiem for What's-His-Name,Marc Ribot,136.8,0.586,0.464,1992ø
New,Requiem for What's-His-Name,Marc Ribot,259.0,0.586,0.464,1992ø
Nature Abhors A Vacuum Cleaner,Rootless Cosmopolitans,Marc Ribot,273.7,0.586,0.464,1990ø
Motherless Child,Requiem for What's-His-Name,Marc Ribot,67.7,0.586,0.464,1992ø
March,Requiem for What's-His-Name,Marc Ribot,124.7,0.586,0.464,1992ø
LaMonte's Nightmare,Requiem for What's-His-Name,Marc Ribot,360.4,0.586,0.464,1992ø
I Should Care,Rootless Cosmopolitans,Marc Ribot,78.7,0.586,0.464,1990ø
Have A Nice Day,Rootless Cosmopolitans,Marc Ribot,228.2,0.586,0.464,1990ø
Friendly Ghosts,Rootless Cosmopolitans,Marc Ribot,320.6,0.586,0.464,1990ø
First Time Every Time,Requiem for What's-His-Name,Marc Ribot,121.1,0.586,0.464,1992ø
Disposable Head,Requiem for What's-His-Name,Marc Ribot,170.9,0.586,0.464,1992ø
Commit a Crime,Requiem for What's-His-Name,Marc Ribot,202.3,0.586,0.464,1992ø
Clever White Youths,Requiem for What's-His-Name,Marc Ribot,270.7,0.586,0.464,1992ø
Blues,Requiem for What's-His-Name,Marc Ribot,191.8,0.586,0.464,1992ø
Beak Lunch Manifesto,Rootless Cosmopolitans,Marc Ribot,389.1,0.586,0.464,1990ø
1 Adolph 12,Requiem for What's-His-Name,Marc Ribot,417.8,0.586,0.464,1992ø
