Then & Now,Made In Brooklyn,Masta Killa,214.9,0.668,0.465,2006ø
Street Corner,Made In Brooklyn,Masta Killa,255.5,0.579,0.465,2006ø
Ringing Bells,Made In Brooklyn,Masta Killa,195.7,0.668,0.465,2006ø
Pass The Bone (Remix),Made In Brooklyn,Masta Killa,246.4,0.668,0.465,2006ø
Older Gods Part 2,Made In Brooklyn,Masta Killa,326.5,0.668,0.465,2006ø
No Said Date,Live,Masta Killa,95.1,0.668,0.465,2004ø
Nehanda & Cream,Made In Brooklyn,Masta Killa,253.8,0.668,0.465,2006ø
Lovely Lady,Made In Brooklyn,Masta Killa,312.1,0.668,0.465,2006ø
Let's Get Into Something,Made In Brooklyn,Masta Killa,242.3,0.668,0.465,2006ø
Iron God Chamber,Made In Brooklyn,Masta Killa,232.2,0.668,0.465,2006ø
Grab The Mic,Live,Masta Killa,146.6,0.668,0.465,2004ø
East M.C.'s,Made In Brooklyn,Masta Killa,302.2,0.668,0.465,2006ø
E.N.Y. House,Made In Brooklyn,Masta Killa,158.7,0.668,0.465,2006ø
Brooklyn King,Made In Brooklyn,Masta Killa,161.9,0.668,0.465,2006ø
