Zeppelindia,Made In Italy,Mau Mau,227.5,0.44,0.312,1996ø
Zardo,Sauta Rabel,Mau Mau,211.3,0.44,0.312,1992ø
Venus Nabalera,Safari Beach (Tucasa Micasa),Mau Mau,331.4,0.44,0.312,2000ø
Venite,Viva Mamanera,Mau Mau,49.4,0.44,0.312,1996ø
Union Pacific,Viva Mamanera,Mau Mau,120.3,0.44,0.312,1996ø
Una Lunga Estate Calda,Safari Beach (Tucasa Micasa),Mau Mau,237.8,0.44,0.312,2000ø
Traversado,Sauta Rabel,Mau Mau,237.4,0.44,0.312,1992ø
Temporale,Safari Beach (Tucasa Micasa),Mau Mau,287.2,0.44,0.312,2000ø
Soma La Macia,Made In Italy,Mau Mau,237.7,0.44,0.312,1997ø
Solo Tu,Safari Beach (Tucasa Micasa),Mau Mau,373.0,0.44,0.312,2000ø
Solo Sfiorando,Eldorado,Mau Mau,361.5,0.44,0.312,1998ø
Singh Sent Ani,Sauta Rabel,Mau Mau,262.8,0.44,0.312,1992ø
Sauta Rabel,Made In Italy,Mau Mau,231.7,0.44,0.312,1992ø
Sambera,Bass Paradis,Mau Mau,98.3,0.44,0.312,1994ø
Razza Predona,Bass Paradis,Mau Mau,201.2,0.44,0.312,1994ø
Ratatoj,Bass Paradis,Mau Mau,190.5,0.44,0.312,1994ø
Radio Canta Elena,Sauta Rabel,Mau Mau,235.7,0.44,0.312,1992ø
Pueblos De Langa,Eldorado,Mau Mau,246.0,0.44,0.312,1998ø
Per Amor,Made In Italy,Mau Mau,228.7,0.44,0.312,1998ø
Nozze,Eldorado,Mau Mau,328.6,0.44,0.312,1998ø
Neir,Sauta Rabel,Mau Mau,255.6,0.44,0.312,1992ø
Mostafaj,Made In Italy,Mau Mau,245.5,0.44,0.312,1992ø
Micasa Tucasa,Safari Beach (Tucasa Micasa),Mau Mau,258.4,0.44,0.312,2000ø
Mezzaluna,Viva Mamanera,Mau Mau,239.9,0.44,0.312,1996ø
Mauloop (Seh One Love),Bass Paradis,Mau Mau,48.8,0.44,0.312,1994ø
Mauloop,Bass Paradis,Mau Mau,262.6,0.44,0.312,1994ø
Mamanera,Viva Mamanera,Mau Mau,527.5,0.44,0.312,1996ø
Laserta,Viva Mamanera,Mau Mau,261.7,0.44,0.312,1996ø
La Via Salata,Bass Paradis,Mau Mau,201.8,0.44,0.312,1994ø
La Ola,Made In Italy,Mau Mau,270.2,0.44,0.312,1996ø
La Mia Furia,Bass Paradis,Mau Mau,85.4,0.44,0.312,1994ø
Il Mambo Del Mamba,Viva Mamanera,Mau Mau,159.7,0.44,0.312,1996ø
Gwami Moloko,Safari Beach (Tucasa Micasa),Mau Mau,247.5,0.44,0.312,2000ø
Gamble Calypso,Safari Beach (Tucasa Micasa),Mau Mau,232.1,0.44,0.312,2000ø
Fiore,Viva Mamanera,Mau Mau,318.6,0.44,0.312,1996ø
Finisterre,Eldorado,Mau Mau,103.0,0.44,0.312,1998ø
Ellis Island,Made In Italy,Mau Mau,272.8,0.44,0.312,1996ø
Due Cuori,Safari Beach (Tucasa Micasa),Mau Mau,306.0,0.44,0.312,2000ø
Doramantrica,Viva Mamanera,Mau Mau,69.8,0.44,0.312,1996ø
Dammi Un Bacio,Viva Mamanera,Mau Mau,36.5,0.44,0.312,1996ø
Corto Maltese,Viva Mamanera,Mau Mau,245.0,0.44,0.312,1996ø
Come,Viva Mamanera,Mau Mau,183.5,0.44,0.312,1996ø
Chiamami,Safari Beach (Tucasa Micasa),Mau Mau,167.8,0.44,0.312,2000ø
Campeador De Vigna,Viva Mamanera,Mau Mau,259.6,0.44,0.312,1996ø
C'Est La Vie,Safari Beach (Tucasa Micasa),Mau Mau,106.1,0.44,0.312,2000ø
Basura,Safari Beach (Tucasa Micasa),Mau Mau,250.1,0.44,0.312,2000ø
Balon Combo,Made In Italy,Mau Mau,233.4,0.44,0.312,1994ø
An Viagi,Bass Paradis,Mau Mau,301.6,0.44,0.312,1994ø
