The Searchers,The Searchers - Original Film Soundtrack,Max Steiner,251.6,0.472,0.355,1996ø
The Scarifice Ceremony,King Kong,Max Steiner,145.8,0.472,0.355,1993ø
The Adventure Begins,King Kong,Max Steiner,317.2,0.472,0.355,1993ø
Skull Island Aborigines,King Kong,Max Steiner,209.9,0.472,0.355,1993ø
Reconstruction,Gone With the Wind,Max Steiner,121.5,0.472,0.355,1986ø
Organizing The Rescue,King Kong,Max Steiner,100.9,0.472,0.355,1993ø
Onboard At Night,King Kong,Max Steiner,202.9,0.472,0.355,1993ø
Kong Takes Away The Girl,King Kong,Max Steiner,383.2,0.472,0.355,1993ø
Kong In New York,King Kong,Max Steiner,74.7,0.472,0.355,1993ø
Kong Escapes (The First Time),King Kong,Max Steiner,82.4,0.472,0.355,1993ø
Kong Escapes,King Kong,Max Steiner,133.4,0.472,0.355,1997ø
Kong Attacks The Native Village,King Kong,Max Steiner,306.8,0.472,0.355,1993ø
Gone With The Wind - Tara's Theme,Movie Memories- Music From the Greatest Films,Max Steiner,214.2,0.472,0.355,2001ø
Gone With the Wind,Film and Colossal Emotions,Max Steiner,247.4,0.472,0.355,1992ø
Death Of King Kong & End Title,King Kong,Max Steiner,198.6,0.472,0.355,1993ø
Ashley and Scarlett,Gone With the Wind,Max Steiner,139.0,0.472,0.355,1990ø
