Your Song,Tales Told By Dead Friends,Mayday Parade,237.6,0.818,0.562,2006ø
You Be The Anchor That Keeps My Feet On The Ground_ I'll Be The Wings That Keep Your Heart In The Clouds (Album),A Lesson In Romantics,Mayday Parade,278.0,0.818,0.562,2007ø
Walk On Water Or Drown (Album),A Lesson In Romantics,Mayday Parade,209.9,0.818,0.562,2007ø
Three Cheers For Five Years,Tales Told By Dead Friends,Mayday Parade,340.0,0.818,0.562,2006ø
The Silence (Album Version),Anywhere But Here,Mayday Parade,215.9,0.818,0.562,2009ø
The Last Something That Meant Anything,Tales Told By Dead Friends,Mayday Parade,294.1,0.818,0.562,2006ø
The End (Album Version),Anywhere But Here,Mayday Parade,217.8,0.818,0.562,2009ø
Take This To Heart (Album),A Lesson In Romantics,Mayday Parade,247.9,0.818,0.562,2007ø
Still Breathing (Album Version),Anywhere But Here,Mayday Parade,232.0,0.818,0.562,2009ø
Save Your Heart (Album Version),Anywhere But Here,Mayday Parade,222.0,0.818,0.562,2009ø
One Man Drinking Games,Tales Told By Dead Friends,Mayday Parade,279.5,0.818,0.562,2006ø
Ocean And Atlantic (Album),A Lesson In Romantics,Mayday Parade,210.4,0.818,0.562,2007ø
Miserable At Best (Album),A Lesson In Romantics,Mayday Parade,316.9,0.818,0.562,2007ø
Kids In Love (Album Version),Anywhere But Here,Mayday Parade,216.6,0.818,0.562,2009ø
Just Say You're Not Into It,Tales Told By Dead Friends,Mayday Parade,261.9,0.818,0.562,2006ø
Jersey (Album),A Lesson In Romantics,Mayday Parade,209.9,0.818,0.562,2007ø
If You Wanted A Song Written About You_ All You Had To Do Was Ask (Album),A Lesson In Romantics,Mayday Parade,244.6,0.818,0.562,2007ø
If You Can't Live Without Me_ Why Aren't You Dead Yet? (Album Version),Anywhere But Here,Mayday Parade,218.1,0.818,0.562,2009ø
I'd Hate To Be You When People Find Out What This Song Is About (Album),A Lesson In Romantics,Mayday Parade,241.4,0.818,0.562,2007ø
I Swear This Time I Mean It (Album Version),Anywhere But Here,Mayday Parade,241.1,0.818,0.562,2009ø
Get Up (Album Version),Anywhere But Here,Mayday Parade,181.5,0.818,0.562,2009ø
Champagne's For Celebrating (I'll Have A Martini) (Album),A Lesson In Romantics,Mayday Parade,236.7,0.818,0.562,2007ø
Center Of Attention (Album Version),Anywhere But Here,Mayday Parade,179.2,0.818,0.562,2009ø
Bruised And Scarred (Album Version),Anywhere But Here,Mayday Parade,203.3,0.818,0.562,2009ø
Black Cat (Album),A Lesson In Romantics,Mayday Parade,203.4,0.818,0.562,2007ø
Anywhere But Here (Album Version),Anywhere But Here,Mayday Parade,190.6,0.818,0.562,2009ø
