Wasted,So Tonight That I Might See,Mazzy Star,331.7,0.738,0.481,1993ø
Unreflected,So Tonight That I Might See,Mazzy Star,222.2,0.738,0.481,1993ø
Umbilical,Among My Swan,Mazzy Star,299.1,0.738,0.481,1996ø
Taste Of Blood,She Hangs Brightly,Mazzy Star,337.0,0.738,0.481,1990ø
Take Everything,Among My Swan,Mazzy Star,293.8,0.738,0.481,1996ø
Still Cold,Among My Swan,Mazzy Star,288.2,0.738,0.481,1996ø
So Tonight That I Might See,So Tonight That I Might See,Mazzy Star,439.4,0.738,0.481,1993ø
She's My Baby,So Tonight That I Might See,Mazzy Star,265.1,0.738,0.481,1993ø
She Hangs Brightly,She Hangs Brightly,Mazzy Star,384.4,0.738,0.481,1990ø
Rose Blood,Among My Swan,Mazzy Star,291.1,0.738,0.481,1996ø
Ride It On,She Hangs Brightly,Mazzy Star,181.3,0.738,0.481,1990ø
Rhymes Of An Hour,Among My Swan,Mazzy Star,252.8,0.738,0.481,1996ø
Mary Of Silence,So Tonight That I Might See,Mazzy Star,362.1,0.738,0.481,1993ø
Look On Down From The Bridge,Among My Swan,Mazzy Star,287.9,0.738,0.481,1996ø
Into Dust,So Tonight That I Might See,Mazzy Star,336.8,0.738,0.481,1993ø
I've Been Let Down,Among My Swan,Mazzy Star,197.6,0.738,0.481,1996ø
I'm Sailin,She Hangs Brightly,Mazzy Star,193.3,0.738,0.481,1990ø
Happy,Among My Swan,Mazzy Star,238.7,0.738,0.481,1996ø
Halah,She Hangs Brightly,Mazzy Star,196.3,0.738,0.481,1990ø
Give You My Lovin,She Hangs Brightly,Mazzy Star,230.1,0.738,0.481,1990ø
Ghost Highway,She Hangs Brightly,Mazzy Star,208.3,0.738,0.481,1990ø
Free,She Hangs Brightly,Mazzy Star,191.2,0.738,0.481,1990ø
Flowers In December,Among My Swan,Mazzy Star,298.0,0.738,0.481,1996ø
Five String Serenade,So Tonight That I Might See,Mazzy Star,264.5,0.738,0.481,1993ø
Disappear,Among My Swan,Mazzy Star,244.8,0.738,0.481,1996ø
Cry_ Cry,Among My Swan,Mazzy Star,238.2,0.738,0.481,1996ø
Blue Light,So Tonight That I Might See,Mazzy Star,310.8,0.738,0.481,1993ø
Blue Flower,She Hangs Brightly,Mazzy Star,215.5,0.738,0.481,1990ø
Bells Ring,So Tonight That I Might See,Mazzy Star,272.1,0.738,0.481,1993ø
Before I Sleep,She Hangs Brightly,Mazzy Star,130.1,0.738,0.481,1990ø
Be My Angel,She Hangs Brightly,Mazzy Star,197.4,0.738,0.481,1990ø
All Your Sisters,Among My Swan,Mazzy Star,316.8,0.738,0.481,1996ø
