Summer Pass Me By,Outside The Simian Flock,Millionaire,245.2,0.618,0.388,2001ø
Starmeat,I'm On A High,Millionaire,249.9,0.618,0.388,2005ø
Shes A Doll,Outside The Simian Flock,Millionaire,181.5,0.618,0.388,2001ø
Petty Thug,Champagne,Millionaire,318.4,0.618,0.388,2002ø
Messed Up And Beautiful,I'm On A High,Millionaire,280.1,0.618,0.388,2005ø
Me Crazy_ U Sane,Outside The Simian Flock,Millionaire,262.0,0.618,0.388,2001ø
I'm On A High (Sickboy Remix),I'm On A High,Millionaire,197.6,0.618,0.388,2005ø
I'm On A High (Radio Edit),I'm On A High,Millionaire,201.5,0.618,0.388,2005ø
I'm On A High (Album Version),I'm On A High,Millionaire,241.5,0.618,0.388,2005ø
Her Gender - Fixed,Outside The Simian Flock,Millionaire,304.2,0.618,0.388,2001ø
Flame Me Up,Outside The Simian Flock,Millionaire,161.0,0.618,0.388,2001ø
Come With You,Outside The Simian Flock,Millionaire,269.4,0.618,0.388,2001ø
Champagne,Champagne,Millionaire,289.8,0.618,0.388,2001ø
Body Experience Revue,Body Experience Revue,Millionaire,302.5,0.618,0.388,2001ø
Blindfold,Outside The Simian Flock,Millionaire,328.8,0.618,0.388,2001ø
Aping Friends,Outside The Simian Flock,Millionaire,200.7,0.618,0.388,2001ø
