Young Willing And Able,Stay In Love/Minnie,Minnie Riperton,225.1,0.653,0.384,1977ø
You Take My Breath Away (Digitally Remastered 93),Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,223.9,0.653,0.384,1993ø
You Take My Breath Away,Love Lives Forever,Minnie Riperton,272.8,0.653,0.384,1980ø
Wouldn't Matter Where You Are,Stay In Love/Minnie,Minnie Riperton,239.0,0.653,0.384,1977ø
When It Comes Down To It,Perfect Angel/Adventures In Paradise,Minnie Riperton,198.5,0.653,0.384,1975ø
The Song Of Life (La-La-La),Love Lives Forever,Minnie Riperton,257.8,0.653,0.384,1980ø
The Edge Of A Dream,Perfect Angel/Adventures In Paradise,Minnie Riperton,260.6,0.653,0.384,1974ø
Take A Little Trip,Perfect Angel/Adventures In Paradise,Minnie Riperton,248.4,0.653,0.384,1974ø
Strange Affair,Love Lives Forever,Minnie Riperton,478.3,0.653,0.384,1980ø
Stick Together,Stay In Love/Minnie,Minnie Riperton,376.8,0.653,0.384,1977ø
Stay In Love,Stay In Love/Minnie,Minnie Riperton,198.4,0.653,0.384,1977ø
Simple Things (Digitally Remastered 93),Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,221.5,0.653,0.384,1993ø
Simple Things,Perfect Angel/Adventures In Paradise,Minnie Riperton,220.6,0.653,0.384,1975ø
Seeing You This Way,Perfect Angel/Adventures In Paradise,Minnie Riperton,164.3,0.653,0.384,1974ø
Return To Forever,Stay In Love/Minnie,Minnie Riperton,248.6,0.653,0.384,1979ø
Reasons,Les Fleurs,Minnie Riperton,207.8,0.653,0.384,1974ø
Rainy Day In Centerville,Come To My Garden (Digitally Remastered),Minnie Riperton,301.1,0.653,0.384,1970ø
Perfect Angel (Digitally Remastered 93),Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,203.8,0.653,0.384,1993ø
Perfect Angel,Perfect Angel/Adventures In Paradise,Minnie Riperton,221.9,0.653,0.384,1974ø
Our Lives,Perfect Angel/Adventures In Paradise,Minnie Riperton,357.6,0.653,0.384,1974ø
Only When I'm Dreaming,Come To My Garden (Digitally Remastered),Minnie Riperton,207.1,0.653,0.384,1970ø
Never Existed Before,Stay In Love/Minnie,Minnie Riperton,257.6,0.653,0.384,1979ø
Minnie's Lament,Perfect Angel/Adventures In Paradise,Minnie Riperton,252.0,0.653,0.384,1975ø
Memory Lane (Single Version) (Digitally Remastered 93),Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,210.2,0.653,0.384,1993ø
