Whatever Lola Wants,Lucky,Molly Johnson,196.7,0.605,0.371,2008ø
Tristes Souvenirs,If You Know Love,Molly Johnson,217.4,0.605,0.371,2006ø
Streets Of Philadelphia,If You Know Love,Molly Johnson,196.0,0.605,0.371,2006ø
Sticks And Stones,If You Know Love,Molly Johnson,259.5,0.605,0.371,2006ø
Ode To Billie Joe,Lucky,Molly Johnson,324.7,0.605,0.371,2008ø
Northern Star,If You Know Love,Molly Johnson,283.9,0.605,0.371,2006ø
Messin' Around,If You Know Love,Molly Johnson,215.1,0.605,0.371,2006ø
Mean To Me,Lucky,Molly Johnson,259.1,0.605,0.371,2008ø
Lush Life,Lucky,Molly Johnson,337.2,0.605,0.371,2008ø
Let's Waste Some Time,If You Know Love,Molly Johnson,268.7,0.605,0.371,2006ø
It Ain't Necessarily So,Lucky,Molly Johnson,298.9,0.605,0.371,2008ø
If You Know Love,If You Know Love,Molly Johnson,226.1,0.605,0.371,2006ø
If I Were A Bell,Lucky,Molly Johnson,166.7,0.605,0.371,2008ø
I Loves You Porgy,Lucky,Molly Johnson,274.7,0.605,0.371,2008ø
I Got It Bad and That Ain't Good,Lucky,Molly Johnson,291.1,0.605,0.371,2008ø
Gee Baby_ Ain't I Good To You,Lucky,Molly Johnson,279.9,0.605,0.371,2008ø
But Not For Me,If You Know Love,Molly Johnson,205.0,0.605,0.371,2006ø
Avignon Blues,If You Know Love,Molly Johnson,205.5,0.605,0.371,2007ø
April In Paris,Lucky,Molly Johnson,251.4,0.605,0.371,2008ø
