What A Difference A Day Makes,Live at Yoshi's Volume One,Mulgrew Miller,506.2,0.449,0.326,2004ø
Warm Valley,Chapter 1 & 2_ Key To The City / Work,Mulgrew Miller,221.1,0.449,0.326,1998ø
The Sage,Chapter 1 & 2_ Key To The City / Work,Mulgrew Miller,514.8,0.449,0.326,1998ø
Sublimity,Chapter 1 & 2_ Key To The City / Work,Mulgrew Miller,488.3,0.449,0.326,1998ø
Song For Darnell,Live at The Kennedy Center Volume Two,Mulgrew Miller,566.7,0.449,0.326,1998ø
Powell's Prances,Chapter 1 & 2_ Key To The City / Work,Mulgrew Miller,208.1,0.449,0.326,1998ø
One's Own Room,Wingspan,Mulgrew Miller,405.3,0.449,0.326,2005ø
O Grande Amor,Live at Yoshi's Volume One,Mulgrew Miller,508.9,0.449,0.326,2004ø
Milestones,Chapter 1 & 2_ Key To The City / Work,Mulgrew Miller,258.3,0.449,0.326,1998ø
Inner Urge,Chapter 1 & 2_ Key To The City / Work,Mulgrew Miller,229.2,0.449,0.326,1998ø
Ev'ry Time We Say Goodbye,Chapter 1 & 2_ Key To The City / Work,Mulgrew Miller,383.5,0.449,0.326,1998ø
Carousel,Solo,Mulgrew Miller,506.2,0.449,0.326,1994ø
Body and Soul,Solo,Mulgrew Miller,402.3,0.449,0.326,1994ø
Blues Again,Chapter 1 & 2_ Key To The City / Work,Mulgrew Miller,381.5,0.449,0.326,1998ø
