Tutto Bene,L'Uomo Sogna Di Volare,Negrita,227.3,0.642,0.402,2005ø
Transalcolico,Ehii!Negrita,Negrita,272.2,0.642,0.402,1999ø
Rotolando Verso Sud,L'Uomo Sogna Di Volare,Negrita,285.8,0.642,0.402,2005ø
Provo A Difendermi,Ehii!Negrita,Negrita,289.2,0.642,0.402,1999ø
Magnolia,Ehii!Negrita,Negrita,267.7,0.642,0.402,2003ø
Lontani Dal Mondo,Ehii!Negrita,Negrita,344.5,0.642,0.402,1994ø
Io Sono,Ehii!Negrita,Negrita,297.3,0.642,0.402,1995ø
In Ogni Atomo,Ehii!Negrita,Negrita,268.6,0.642,0.402,1999ø
Hollywood,Ehii!Negrita,Negrita,324.4,0.642,0.402,1999ø
Ho Imparato A Sognare,Ehii!Negrita,Negrita,254.0,0.642,0.402,1997ø
Hemingway,Ehii!Negrita,Negrita,249.4,0.642,0.402,2001ø
Destinati A Perdersi,L'Uomo Sogna Di Volare,Negrita,318.7,0.642,0.402,2005ø
Cambio,Ehii!Negrita,Negrita,208.3,0.642,0.402,1994ø
Alzati Teresa,L'Uomo Sogna Di Volare,Negrita,221.9,0.642,0.402,2005ø
A Modo Mio,Ehii!Negrita,Negrita,234.1,0.642,0.402,1997ø
