Vallmoland,Vallmoland,Ola Magnell,279.9,0.441,0.405,2003ø
Tomma tunnor,Guldkorn,Ola Magnell,306.9,0.441,0.405,1981ø
Sisyfos (ta mig hem),Vallmoland,Ola Magnell,282.7,0.441,0.405,2003ø
Pappa,Guldkorn,Ola Magnell,354.1,0.441,0.405,1977ø
Nya Perspektiv,Nya Perspektiv,Ola Magnell,210.8,0.441,0.405,1975ø
Macho kid,Vallmoland,Ola Magnell,340.4,0.441,0.405,2003ø
Lyckan Kommer Ju En Dag,Nya Perspektiv,Ola Magnell,200.4,0.441,0.405,1975ø
Kliff,Nya Perspektiv,Ola Magnell,195.0,0.441,0.405,1975ø
Kallt kallt kallt,Vallmoland,Ola Magnell,173.7,0.441,0.405,2003ø
Kalabaliken,Nya Perspektiv,Ola Magnell,198.6,0.441,0.405,1975ø
I min fantasi,Guldkorn,Ola Magnell,239.1,0.441,0.405,1981ø
Grumliga motiv,Vallmoland,Ola Magnell,265.9,0.441,0.405,2003ø
Bruten vinge,Vallmoland,Ola Magnell,236.5,0.441,0.405,2003ø
