You're Guilty,Breaking Rules,On File,202.4,0.475,0.321,2010ø
Work To Live,Breaking Rules,On File,195.6,0.475,0.321,2010ø
That's Right,Breaking Rules,On File,194.1,0.475,0.321,2010ø
Teenage,Breaking Rules,On File,195.0,0.475,0.321,2010ø
Stuck In '82,Breaking Rules,On File,216.5,0.475,0.321,2010ø
Sick Society,Breaking Rules,On File,103.5,0.475,0.321,2010ø
Schooldays,Breaking Rules,On File,172.3,0.475,0.321,2010ø
Number One,Breaking Rules,On File,208.8,0.475,0.321,2010ø
Multi-Culture,Breaking Rules,On File,171.0,0.475,0.321,2010ø
I'm A Drunk,Breaking Rules,On File,221.6,0.475,0.321,2010ø
Football v's Birds And Beer,Breaking Rules,On File,240.4,0.475,0.321,2010ø
First Bird,Breaking Rules,On File,199.6,0.475,0.321,2010ø
Breaking Rules,Ejected From The Premises,On File,185.2,0.475,0.321,2010ø
