Witch,Dodens Evangelium,Ondskapt,322.1,0.508,0.391,2005ø
The fire of hell,Dodens Evangelium,Ondskapt,125.8,0.508,0.391,2005ø
Revelations of another time,Dodens Evangelium,Ondskapt,388.0,0.508,0.391,2005ø
Lord of all unclean spirits,Dodens Evangelium,Ondskapt,304.7,0.508,0.391,2005ø
I kristi Skugga,Dodens Evangelium,Ondskapt,361.4,0.508,0.391,2005ø
Fienden hungrar,Dodens Evangelium,Ondskapt,213.5,0.508,0.391,2005ø
Feeding the flames,Dodens Evangelium,Ondskapt,336.9,0.508,0.391,2005ø
Blessed by demoniac wrath,Dodens Evangelium,Ondskapt,202.6,0.508,0.391,2005ø
Beast of death,Dodens Evangelium,Ondskapt,189.9,0.508,0.391,2005ø
Akilkarsa,Dodens Evangelium,Ondskapt,269.1,0.508,0.391,2005ø
