21st Century,One-Way Mirror,One-Way Mirror,273.0,0.652,0.429,2008ø
Sockracer,One-Way Mirror,One-Way Mirror,266.6,0.652,0.394,2008ø
Relax,One-Way Mirror,One-Way Mirror,231.8,0.652,0.394,2008ø
ReDream,One-Way Mirror,One-Way Mirror,276.4,0.652,0.394,2008ø
Liberation,One-Way Mirror,One-Way Mirror,257.9,0.652,0.394,2008ø
Keeping Me Away,One-Way Mirror,One-Way Mirror,347.6,0.652,0.394,2008ø
Empty Spaces,One-Way Mirror,One-Way Mirror,244.9,0.652,0.394,2008ø
Destination Device,One-Way Mirror,One-Way Mirror,233.4,0.652,0.394,2008ø
Deprived Of Connection,One-Way Mirror,One-Way Mirror,227.5,0.652,0.394,2008ø
Danger Calling,One-Way Mirror,One-Way Mirror,230.1,0.652,0.394,2008ø
As You Are Now,One-Way Mirror,One-Way Mirror,257.7,0.652,0.394,2008ø
