Words Stuck To Heart,Closer Than Veins,Outlandish,217.5,0.672,0.478,2005ø
The Whole World,Sound Of A Rebel,Outlandish,436.0,0.672,0.478,2009ø
Sound Of A Rebel,Sound Of A Rebel,Outlandish,251.7,0.672,0.478,2009ø
Redemption Song,Closer Than Veins,Outlandish,227.6,0.672,0.478,2005ø
Out Of Sight,Sound Of A Rebel,Outlandish,250.3,0.672,0.478,2009ø
Nothing Left To Do,Closer Than Veins,Outlandish,286.2,0.672,0.478,2005ø
Look Into My Eyes,Look Into My Eyes,Outlandish,213.2,0.672,0.478,2005ø
Levanta,Sound Of A Rebel,Outlandish,271.8,0.672,0.478,2009ø
Let Off Some Steam,Sound Of A Rebel,Outlandish,220.5,0.672,0.478,2009ø
Kom Igen,Closer Than Veins - Deluxe Edition,Outlandish,265.5,0.672,0.478,2007ø
Keep The Record On Play,Sound Of A Rebel,Outlandish,207.9,0.672,0.478,2009ø
Just Me,Closer Than Veins,Outlandish,233.3,0.672,0.478,2005ø
Introspective,Closer Than Veins,Outlandish,147.4,0.672,0.478,2005ø
In Good Hands,Closer Than Veins,Outlandish,260.1,0.672,0.478,2005ø
I've Seen,Closer Than Veins,Outlandish,271.7,0.672,0.478,2005ø
I Only Ask Of god,Closer Than Veins,Outlandish,221.9,0.672,0.478,2005ø
Feels Like Saving The World,Feels Like Saving The World,Outlandish,215.9,0.672,0.478,2009ø
Dale Duro,Sound Of A Rebel,Outlandish,237.1,0.672,0.478,2009ø
Callin' U,Closer Than Veins,Outlandish,266.8,0.672,0.478,2005ø
Appreciatin',Closer Than Veins - Deluxe Edition,Outlandish,260.2,0.672,0.478,2005ø
Any Given Time,Closer Than Veins,Outlandish,277.4,0.672,0.478,2005ø
Amen,Sound Of A Rebel,Outlandish,262.7,0.672,0.478,2009ø
Always Remember,Sound Of A Rebel,Outlandish,233.9,0.672,0.478,2009ø
