Yo Solo Quiero,Algo Para Cantar,Pereza,142.4,0.632,0.468,2003ø
Windsor,Aviones,Pereza,241.5,0.632,0.468,2009ø
Voy A Comerte,Aviones,Pereza,233.4,0.632,0.468,2009ø
Violento Amor,Violento Amor,Pereza,233.8,0.632,0.468,2009ø
Una China En Mi Zapato,Pereza,Pereza,213.7,0.632,0.468,2001ø
TV,Pereza,Pereza,157.3,0.632,0.468,2001ø
Tu Que Tal,Pereza,Pereza,195.1,0.632,0.468,2001ø
Tu Infierno,Algo Para Cantar,Pereza,155.0,0.632,0.468,2003ø
Tristeza,Aproximaciones,Pereza,209.5,0.632,0.468,2007ø
Todo Saldra Bien,Pereza,Pereza,165.9,0.632,0.468,2001ø
Todo,Animales,Pereza,260.7,0.632,0.468,2005ø
Tirando De Tu Corazon,Algo Para Cantar,Pereza,202.9,0.632,0.468,2003ø
Taliban,Aproximaciones,Pereza,156.6,0.632,0.468,2007ø
Superjunkeis,Animales,Pereza,250.0,0.632,0.468,2005ø
Super Hermanas,Aproximaciones,Pereza,244.7,0.632,0.468,2007ø
Si Quieres Bailamos,Algo Para Cantar,Pereza,225.4,0.632,0.468,2003ø
Seras Aun La Misma,Pereza,Pereza,174.5,0.632,0.468,2001ø
Quiero Hacerlo Esta Noche Contigo,Animales,Pereza,150.1,0.632,0.468,2005ø
Que Parezca Un Accidente,Aviones,Pereza,208.7,0.632,0.468,2009ø
Que Alegria Mas Tonta,Animales,Pereza,181.7,0.632,0.468,2005ø
Princesas,Animales,Pereza,217.0,0.632,0.468,2005ø
Por Mi Tripa,Aproximaciones,Pereza,227.6,0.632,0.468,2007ø
Pompa De Jabon,Pereza,Pereza,179.3,0.632,0.468,2001ø
Pirata,Aviones,Pereza,213.9,0.632,0.468,2009ø
Pienso En Aquella Tarde (Nueva Version),Algo Para Cantar,Pereza,221.7,0.632,0.468,2003ø
Pienso En Aquella Tarde,Algo Para Cantar,Pereza,172.6,0.632,0.468,2003ø
Pereza,Pereza,Pereza,177.6,0.632,0.468,2001ø
Perdona Mona,Pereza,Pereza,178.4,0.632,0.468,2001ø
Pelos De Punta,Algo Para Cantar,Pereza,175.9,0.632,0.468,2003ø
Musica Ligera,Pereza,Pereza,164.7,0.632,0.468,2001ø
Matar Al Cartero,Animales,Pereza,207.2,0.632,0.468,2005ø
Madrid,Hablamos De Madrid,Pereza,219.0,0.632,0.468,2005ø
Lo  Que Tengo Yo Adentro,Animales,Pereza,188.6,0.632,0.468,2005ø
Llevame Al Baile,Aviones,Pereza,231.9,0.632,0.468,2009ø
Leones,Aviones,Pereza,223.0,0.632,0.468,2009ø
Lady Madrid,Aviones,Pereza,190.4,0.632,0.468,2009ø
La Puntita,Aviones,Pereza,196.1,0.632,0.468,2009ø
La Noria,Algo Para Cantar,Pereza,193.1,0.632,0.468,2003ø
La Chica De Tirso,Aviones,Pereza,237.3,0.632,0.468,2009ø
Huracan,Aproximaciones,Pereza,258.9,0.632,0.468,2007ø
Horoscopo,Pereza,Pereza,160.2,0.632,0.468,2001ø
Hazmelo,Algo Para Cantar,Pereza,166.6,0.632,0.468,2004ø
Grupis,Aproximaciones,Pereza,198.4,0.632,0.468,2007ø
Fragiles,Aproximaciones,Pereza,234.1,0.632,0.468,2007ø
Estrella Polar,Aproximaciones,Pereza,211.5,0.632,0.468,2007ø
Esta LLoviendo,Aviones,Pereza,206.5,0.632,0.468,2009ø
Escupe,Aviones,Pereza,185.7,0.632,0.468,2009ø
En Donde Estes,Algo Para Cantar,Pereza,222.1,0.632,0.468,2004ø
Ella Tiene Un Don,Aproximaciones,Pereza,232.6,0.632,0.468,2007ø
El Globo,Pereza,Pereza,168.5,0.632,0.468,2001ø
El Dia Que No Pueda Mas,Aviones,Pereza,225.8,0.632,0.468,2009ø
Dos Gotas,Aproximaciones,Pereza,270.2,0.632,0.468,2007ø
Dimelo,Aproximaciones,Pereza,176.1,0.632,0.468,2007ø
Dale A La Guitarra,Algo Para Cantar,Pereza,182.0,0.632,0.468,2003ø
Contento Por Nada,Aviones,Pereza,249.5,0.632,0.468,2009ø
Como Lo Tienes Tu,Animales,Pereza,234.4,0.632,0.468,2005ø
Champagne,Aviones,Pereza,257.8,0.632,0.468,2009ø
Caramelo,Animales,Pereza,259.5,0.632,0.468,2005ø
Beatles,Aproximaciones,Pereza,219.1,0.632,0.468,2007ø
Backstage(Te Quiero_ Nena),Aviones,Pereza,202.8,0.632,0.468,2009ø
Ay!,Pereza,Pereza,181.8,0.632,0.468,2001ø
Animales,Animales,Pereza,171.1,0.632,0.468,2005ø
Amelie,Aviones,Pereza,222.7,0.632,0.468,2009ø
Algo Para Cantar,Algo Para Cantar,Pereza,147.0,0.632,0.468,2003ø
4 y 26,Aviones,Pereza,256.1,0.632,0.468,2009ø
