Zero Refills,Live A Little,Pernice Brothers,286.9,0.535,0.365,2006ø
Working Girls - Sunlight Sunshines,The World Won'T End,Pernice Brothers,200.8,0.535,0.365,2001ø
Water Ban,Yours_ Mine And Ours,Pernice Brothers,187.1,0.535,0.365,2003ø
Waiting for the Universe,Yours_ Mine And Ours,Pernice Brothers,211.7,0.535,0.365,2003ø
The Weakest Shade of Blue,Yours_ Mine And Ours,Pernice Brothers,186.8,0.535,0.365,2003ø
The Ballad Of Bjorn Borg,The World Won'T End,Pernice Brothers,218.6,0.535,0.365,2001ø
She Heightened Everything,The World Won'T End,Pernice Brothers,158.4,0.512,0.365,2001ø
Shaken Baby,The World Won'T End,Pernice Brothers,246.6,0.535,0.365,2001ø
PCH One,Live A Little,Pernice Brothers,213.8,0.535,0.365,2006ø
Our Time Has Passed,The World Won'T End,Pernice Brothers,233.5,0.535,0.365,2001ø
One Foot in the Grave,Yours_ Mine And Ours,Pernice Brothers,192.7,0.535,0.365,2003ø
Number Two,Yours_ Mine And Ours,Pernice Brothers,338.9,0.535,0.365,2003ø
Microscopic View,Live A Little,Pernice Brothers,196.8,0.535,0.365,2006ø
Lightheaded,Live A Little,Pernice Brothers,171.3,0.535,0.365,2006ø
Let That Show,The World Won'T End,Pernice Brothers,225.0,0.535,0.365,2001ø
Judy,Yours_ Mine And Ours,Pernice Brothers,208.5,0.535,0.365,2003ø
How to Live Alone,Yours_ Mine And Ours,Pernice Brothers,221.5,0.535,0.365,2003ø
How Can I Compare,Live A Little,Pernice Brothers,168.6,0.535,0.365,2006ø
High As A Kite,Live A Little,Pernice Brothers,193.3,0.535,0.365,2006ø
Grudge F*** (2006),Live A Little,Pernice Brothers,296.6,0.535,0.365,2006ø
Flaming Wreck,The World Won'T End,Pernice Brothers,334.4,0.535,0.365,2001ø
Endless Supply,The World Won'T End,Pernice Brothers,231.1,0.535,0.365,2001ø
Cruelty to Animals,Live A Little,Pernice Brothers,200.0,0.535,0.365,2006ø
Cronulla Breakdown,The World Won'T End,Pernice Brothers,187.9,0.535,0.365,2001ø
Conscience Clean (I Went To Spain),Live A Little,Pernice Brothers,170.6,0.535,0.365,2006ø
Bryte Side,The World Won'T End,Pernice Brothers,191.5,0.535,0.365,2001ø
Blinded by the Stars,Yours_ Mine And Ours,Pernice Brothers,294.8,0.535,0.365,2003ø
Baby in Two,Yours_ Mine And Ours,Pernice Brothers,214.1,0.512,0.365,2003ø
B.S. Johnson,Live A Little,Pernice Brothers,140.5,0.535,0.365,2006ø
Automaton,Live A Little,Pernice Brothers,185.1,0.535,0.365,2006ø
7:30,The World Won'T End,Pernice Brothers,183.8,0.535,0.365,2001ø
Sometimes I Remember,Yours_ Mine And Ours,Pernice Brothers,164.1,0.512,0.268,2003ø
Somerville,Live A Little,Pernice Brothers,213.0,0.512,0.268,2006ø
