Wir Wiederholen,Beautiful Today,Planetakis,186.7,0.508,0.357,2006ø
Wir Gehen In's Hotel,Beautiful Today,Planetakis,184.0,0.508,0.357,2006ø
Wenn Der Regen Kommt,Beautiful Today,Planetakis,217.5,0.508,0.357,2006ø
Spam,Out of the Club Into the Night,Planetakis,148.4,0.508,0.357,2007ø
Sex Without a Lover,Beautiful Today,Planetakis,186.4,0.508,0.357,2006ø
Roboter,Out of the Club Into the Night,Planetakis,242.0,0.508,0.357,2007ø
Raus Aus Der Wirklichkeit,Out of the Club Into the Night,Planetakis,174.7,0.508,0.357,2007ø
Pogo in the Shoes of Kylie Minogue,Out of the Club Into the Night,Planetakis,211.7,0.508,0.357,2007ø
Ohne Gnade Zu (Munich Live Version),Beautiful Today EP,Planetakis,212.6,0.508,0.357,2005ø
Ohne Gnade Zu,Beautiful Today,Planetakis,193.4,0.508,0.357,2006ø
No Faith No More,Out of the Club Into the Night,Planetakis,244.5,0.508,0.357,2007ø
Monster Der Tage,Beautiful Today,Planetakis,207.5,0.508,0.357,2006ø
Monogamie,Beautiful Today EP,Planetakis,169.1,0.508,0.357,2005ø
Mike Patton,Beautiful Today,Planetakis,202.3,0.508,0.357,2006ø
Messages,Out of the Club Into the Night,Planetakis,209.0,0.508,0.357,2007ø
Letters to Norway,Out of the Club Into the Night,Planetakis,234.7,0.508,0.357,2007ø
Hell or Holiday,Out of the Club Into the Night,Planetakis,226.5,0.508,0.357,2007ø
Guter Laden Hier,Beautiful Today,Planetakis,152.2,0.508,0.357,2006ø
Endlos Durch Die Nacht,Beautiful Today,Planetakis,200.9,0.508,0.357,2006ø
Don't Fuck With Robert Smith,Beautiful Today,Planetakis,162.1,0.508,0.357,2006ø
Der Spezialist,Beautiful Today,Planetakis,180.8,0.508,0.357,2006ø
Der Beat Bleibt,Beautiful Today,Planetakis,170.7,0.508,0.357,2006ø
Beautiful Today (The Machine Remix),Beautiful Today EP,Planetakis,174.9,0.508,0.357,2005ø
Beautiful Today (Planetakis Clubmix),Beautiful Today EP,Planetakis,193.5,0.508,0.357,2005ø
Beautiful Today,Beautiful Today,Planetakis,166.6,0.508,0.357,2006ø
