Yumbambe,A Night At Kimball's East,Poncho Sanchez,363.0,0.577,0.374,1987ø
Watermelon Man,Instant Party,Poncho Sanchez,371.4,0.577,0.374,1999ø
Voyage,Raise Your Hand,Poncho Sanchez,240.8,0.577,0.374,2007ø
Ven Pa Bailar,Latin Soul,Poncho Sanchez,346.3,0.577,0.374,1999ø
Soul Sauce (Guachi Guara),Baila Mi Gente,Poncho Sanchez,266.0,0.577,0.374,1996ø
Song For Cal,Soul Sauce: Memories Of Cal Tjader,Poncho Sanchez,248.3,0.577,0.374,1990ø
Sonando,Bailar,Poncho Sanchez,376.7,0.577,0.374,1982ø
Son Son Charari,Baila Mi Gente,Poncho Sanchez,420.2,0.577,0.374,2002ø
Sambia,Latin Spirits,Poncho Sanchez,376.1,0.577,0.374,2001ø
Out Of Sight,Poncho At Montreux,Poncho Sanchez,342.5,0.577,0.374,2003ø
One Mint Julep,Poncho At Montreux,Poncho Sanchez,345.7,0.577,0.374,2003ø
Manteca,Papa Gato,Poncho Sanchez,350.3,0.577,0.374,1987ø
Mama Guela,Latin Soul,Poncho Sanchez,443.3,0.577,0.374,1990ø
Lip Smacker,El Mejor,Poncho Sanchez,372.4,0.577,0.374,2004ø
La Familia,Bailar,Poncho Sanchez,418.2,0.577,0.374,1989ø
Jumpin' With Symphony Sid,The Concord Jazz Heritage Series,Poncho Sanchez,265.0,0.577,0.374,1987ø
Ju Ju,Latin Spirits,Poncho Sanchez,427.1,0.577,0.374,2001ø
Joseito,Soul Of The Conga,Poncho Sanchez,326.6,0.577,0.374,2000ø
Going Back To New Orleans,Latin Spirits,Poncho Sanchez,282.2,0.577,0.374,2001ø
El Shing-A-Ling,Out Of Sight!,Poncho Sanchez,347.6,0.577,0.374,2003ø
El Conguero,Baila Mi Gente,Poncho Sanchez,287.0,0.577,0.374,1989ø
Early In The Mornin',Latin Spirits,Poncho Sanchez,395.3,0.577,0.374,2001ø
Conmigo,Poncho At Montreux,Poncho Sanchez,470.2,0.577,0.374,2003ø
Conga Blue,Latin Soul,Poncho Sanchez,451.9,0.577,0.374,1999ø
Con Migo,Chile Con Soul,Poncho Sanchez,285.2,0.577,0.374,1990ø
Cold Duck Time,Groovin' The Blues,Poncho Sanchez,333.0,0.577,0.374,2002ø
Co Co My My,Conga Caliente,Poncho Sanchez,307.1,0.577,0.374,2002ø
Cinderella,A Night At Kimball's East,Poncho Sanchez,313.2,0.577,0.374,1996ø
Child Of The Earth,Do It!,Poncho Sanchez,393.1,0.577,0.374,2005ø
Bodacious Q,The Colors Of Latin Jazz: Soul Cookin',Poncho Sanchez,258.2,0.577,0.374,2000ø
Besame Mama,Instant Party,Poncho Sanchez,392.8,0.577,0.374,1997ø
Baila Mi Gente,A Night At Kimball's East,Poncho Sanchez,391.2,0.577,0.374,1996ø
Alafia,Conga Caliente,Poncho Sanchez,353.4,0.577,0.374,2002ø
A Time For Love,Bailar,Poncho Sanchez,446.8,0.577,0.374,1989ø
A Night In Tunisia,Raise Your Hand,Poncho Sanchez,276.4,0.577,0.374,1982ø
