Trouble In Paradise,Princess Pang,Princess Pang,272.4,0.356,0.222,1989ø
Too Much_ Too Soon,Princess Pang,Princess Pang,175.4,0.356,0.222,1989ø
Sympathy,Princess Pang,Princess Pang,317.6,0.356,0.222,1989ø
South St. Kids,Princess Pang,Princess Pang,178.3,0.356,0.222,1989ø
Scream & Shout,Princess Pang,Princess Pang,179.7,0.356,0.222,1989ø
I'm Not Playin',Princess Pang,Princess Pang,174.6,0.356,0.222,1989ø
Find My Heart A Home,Princess Pang,Princess Pang,253.5,0.356,0.222,1989ø
China Doll,Princess Pang,Princess Pang,177.6,0.356,0.222,1989ø
Baby Blue,Princess Pang,Princess Pang,265.5,0.356,0.222,1989ø
Any Way You Want It,Princess Pang,Princess Pang,239.5,0.356,0.222,1989ø
