Whose Fist Is This Anyway?,Cleansing,Prong,281.4,0.655,0.502,1994ø
Unfortunately,Rude Awakening,Prong,190.2,0.655,0.502,1996ø
Unconditional,PROVE YOU WRONG,Prong,285.2,0.655,0.502,1991ø
Torn Between,PROVE YOU WRONG,Prong,191.8,0.655,0.502,1991ø
The Banishment,The Banishment,Prong,357.3,0.655,0.502,2007ø
Test,Cleansing,Prong,399.6,0.655,0.502,1994ø
Territorial Rites,PROVE YOU WRONG,Prong,210.4,0.655,0.502,1991ø
Take It In Hand,Beg To Differ,Prong,223.5,0.655,0.502,1990ø
Steady Decline,Beg To Differ,Prong,252.9,0.655,0.502,1990ø
Snap Your Fingers_ Snap Your Neck,Cleansing,Prong,251.5,0.655,0.502,1994ø
Shouldn't Have Bothered,PROVE YOU WRONG,Prong,158.5,0.655,0.502,1991ø
Prove You Wrong,PROVE YOU WRONG,Prong,210.3,0.655,0.502,1991ø
Proud Division,Rude Awakening,Prong,193.0,0.655,0.502,1996ø
Positively Blind,PROVE YOU WRONG,Prong,163.8,0.655,0.502,1991ø
No Way to Deny It,PROVE YOU WRONG,Prong,281.1,0.655,0.502,1991ø
No Question,Cleansing,Prong,257.3,0.655,0.502,1994ø
Lost And Found,Beg To Differ,Prong,243.3,0.655,0.502,1990ø
Just The Same,Beg To Differ,Prong,281.3,0.655,0.502,1990ø
Home Rule,Cleansing,Prong,238.6,0.655,0.502,1994ø
Hell If I Could,PROVE YOU WRONG,Prong,240.1,0.655,0.502,1991ø
Get A Grip (On Yourself),PROVE YOU WRONG,Prong,185.8,0.655,0.502,1991ø
For Dear Life,Beg To Differ,Prong,205.0,0.655,0.502,1990ø
Cut-Rate,Cleansing,Prong,292.1,0.655,0.502,1994ø
Controller,Rude Awakening,Prong,220.3,0.655,0.502,1996ø
Contradictions,PROVE YOU WRONG,Prong,250.5,0.655,0.502,1991ø
Caprice,Rude Awakening,Prong,165.9,0.655,0.502,1996ø
Beg To Differ,Beg To Differ,Prong,255.0,0.655,0.502,1990ø
Avenue Of The Finest,Rude Awakening,Prong,219.2,0.655,0.502,1996ø
Another Wordly Device,Cleansing,Prong,205.4,0.655,0.502,1994ø
3rd Option,Power Of The Damager,Prong,247.4,0.655,0.502,2007ø
Worst Of it,Power Of The Damager,Prong,212.1,0.655,0.485,2007ø
Spirit Guide (Reality's Edge Mix),Power Of The Damn MiXXXer,Prong,264.8,0.655,0.485,2009ø
Right To Nothing,Beg To Differ,Prong,176.5,0.655,0.485,1990ø
Pure Ether (Big Riddim Mix),Power Of The Damn MiXXXer,Prong,281.3,0.655,0.485,2009ø
Pure Ether,Power Of The Damager,Prong,230.3,0.655,0.485,2007ø
Prime Cut,Beg To Differ,Prong,229.1,0.655,0.485,1990ø
Power Of The Damager (Fabrication Mix),Power Of The Damn MiXXXer,Prong,218.8,0.655,0.485,2009ø
Power Of the Damager,Power Of The Damager,Prong,219.8,0.655,0.485,2007ø
No Justice,Power Of The Damager,Prong,236.5,0.655,0.485,2007ø
Messages Inside Of Me,Power Of The Damager,Prong,174.3,0.655,0.485,2007ø
Looking For Them,Power Of The Damager,Prong,217.7,0.655,0.485,2007ø
Intermenstrual_ D.S.B.,Beg To Differ,Prong,192.2,0.655,0.485,1990ø
Face Value,Rude Awakening,Prong,247.8,0.655,0.485,1996ø
Dark Signs,Rude Awakening,Prong,199.2,0.655,0.485,1996ø
Close The Door,Rude Awakening,Prong,246.1,0.655,0.485,1996ø
Can't Stop The Bleeding (Smack! Mix),Power Of The Damn MiXXXer,Prong,257.5,0.655,0.485,2009ø
Can't Stop The Bleeding,Power Of The Damager,Prong,175.6,0.655,0.485,2007ø
Broken Peace,Cleansing,Prong,371.6,0.655,0.485,1994ø
Bad Fall (Smiles On Your Face Mix),Power Of The Damn MiXXXer,Prong,262.7,0.655,0.485,2009ø
3rd Option (Naked In The Cadillac Mix),Power Of The Damn MiXXXer,Prong,225.6,0.655,0.485,2009ø
