The Highwayman Outwitted,No Man's Fool,Rachael McShane,228.3,0.437,0.362,2009ø
The Gardener,No Man's Fool,Rachael McShane,239.0,0.437,0.362,2009ø
The Fisherman,No Man's Fool,Rachael McShane,268.4,0.437,0.362,2009ø
The Drowned Sailor,No Man's Fool,Rachael McShane,281.9,0.437,0.362,2009ø
Shepherd Lad,No Man's Fool,Rachael McShane,363.4,0.437,0.362,2009ø
My Johnny Was A Shoemaker,No Man's Fool,Rachael McShane,238.7,0.437,0.362,2009ø
Miles Weatherill,No Man's Fool,Rachael McShane,248.9,0.437,0.362,2009ø
Maid On The Shore,No Man's Fool,Rachael McShane,294.1,0.437,0.362,2009ø
Captain Ward,No Man's Fool,Rachael McShane,251.4,0.437,0.362,2009ø
Broomfield Wager,No Man's Fool,Rachael McShane,253.6,0.437,0.362,2009ø
