Saanhan viimeisen tanssin,Ikkunaprinsessa,Rauli Badding Somerjoki,176.6,0.49,0.327,1982ø
Pikku neitsyt,Synnyin rokkaamaan,Rauli Badding Somerjoki,193.1,0.49,0.327,1997ø
Paras haihtua vaan,Ikkunaprinsessa,Rauli Badding Somerjoki,150.6,0.49,0.327,1982ø
Omista minut,Ikkunaprinsessa,Rauli Badding Somerjoki,165.0,0.49,0.327,1982ø
Moikataan kun tavataan,Synnyin rokkaamaan,Rauli Badding Somerjoki,136.8,0.49,0.327,1997ø
Laivat,Laivat,Rauli Badding Somerjoki,226.0,0.49,0.327,1985ø
Johnny B. Goode,Synnyin rokkaamaan,Rauli Badding Somerjoki,129.1,0.49,0.327,1997ø
Iso lemmen pala,Synnyin rokkaamaan,Rauli Badding Somerjoki,145.7,0.49,0.327,1997ø
Ilta-aurinko,Laivat,Rauli Badding Somerjoki,162.3,0.49,0.327,1985ø
Ikkunaprinsessa,Ikkunaprinsessa,Rauli Badding Somerjoki,156.3,0.49,0.327,1982ø
Haaveisiin vaipunut,Synnyin rokkaamaan,Rauli Badding Somerjoki,137.6,0.49,0.327,1994ø
Enkelinkasvot,Synnyin rokkaamaan,Rauli Badding Somerjoki,127.9,0.49,0.327,1997ø
Bensaa suonissa,Synnyin rokkaamaan,Rauli Badding Somerjoki,155.5,0.49,0.327,1992ø
