Special Lady,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,256.5,0.507,0.327,1979ø
Love Minus One,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,276.7,0.507,0.327,1982ø
Inside Of You,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,300.8,0.507,0.327,1979ø
I'll Remember You With Love,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,243.0,0.507,0.327,2002ø
How Can Love So Right (Be So Wrong),20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,231.2,0.507,0.327,1996ø
Heaven In The Rain,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,261.1,0.507,0.327,1996ø
Another Day,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,253.9,0.507,0.327,1979ø
After All,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,223.2,0.507,0.327,1982ø
A Part Of You,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,253.9,0.507,0.327,1996ø
My Prayer,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,188.7,0.507,0.32,1996ø
Happy Anniversary,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,277.5,0.507,0.32,1996ø
