Zwischen Kiez Und Ku'Damm,Ikarus,Reinhard Mey,273.1,0.577,0.4,1975ø
Wirklich Schon Wieder Ein Jahr,Starportrait 2,Reinhard Mey,178.1,0.577,0.4,1970ø
Wie Vor Jahr Und Tag,20.00 Uhr,Reinhard Mey,231.9,0.577,0.4,1974ø
What A Lucky Man You Are,Lampenfieber,Reinhard Mey,402.0,0.577,0.4,1998ø
Wenn Ich Betrunken Bin,! Ich Kann,Reinhard Mey,482.8,0.577,0.4,2000ø
Warten,Ankomme Freitag_ Den 13.,Reinhard Mey,187.7,0.577,0.4,1968ø
Verzeih,Flaschenpost,Reinhard Mey,264.2,0.577,0.4,1998ø
Tierpolizei,Lebenszeichen,Reinhard Mey,383.3,0.577,0.4,1996ø
Susann,20.00 Uhr,Reinhard Mey,185.2,0.577,0.4,1974ø
Sommerende,Nanga Parbat,Reinhard Mey,235.2,0.577,0.4,2004ø
Schwere Wetter,Ruem Hart,Reinhard Mey,240.8,0.577,0.4,2002ø
Rundfunkwerbung-Blues,Live '84,Reinhard Mey,415.4,0.577,0.4,1984ø
Mein Testament,20.00 Uhr,Reinhard Mey,290.0,0.577,0.4,1974ø
Mein Berlin,Farben,Reinhard Mey,381.9,0.577,0.4,1990ø
Keine Ruhige Minute,Die Grosse Tournee '86,Reinhard Mey,205.5,0.577,0.4,1979ø
In Diesem_ Unsrem Lande,Balladen,Reinhard Mey,240.1,0.577,0.4,1988ø
Immer Mehr,Klaar Kiming - Live,Reinhard Mey,234.3,0.577,0.4,2002ø
Ich Singe Um Mein Leben,Ruem Hart,Reinhard Mey,226.6,0.577,0.4,2002ø
Ich Hab' Meine Rostlaube Tiefergelegt,Farben,Reinhard Mey,244.6,0.577,0.4,1990ø
Ich Bin Aus Jenem Holze Geschnitzt,Starportrait,Reinhard Mey,196.0,0.577,0.4,1971ø
Gute Nacht Freunde,Lampenfieber,Reinhard Mey,303.9,0.577,0.4,2003ø
Frohe Weihnacht,Die Grosse Tournee '86,Reinhard Mey,478.6,0.577,0.4,1987ø
Faust In Der Hand,Ruem Hart,Reinhard Mey,258.5,0.577,0.4,2002ø
Es Ist Doch Ein Friedlicher Ort,Die Grosse Tournee '86,Reinhard Mey,286.7,0.577,0.4,1985ø
Einen Koffer In Jeder Hand,Ikarus,Reinhard Mey,170.1,0.577,0.4,1975ø
Du Bist Ein Riese_ Max!,Alles Geht!,Reinhard Mey,231.2,0.577,0.4,1992ø
Die Waffen Nieder!,Nanga Parbat,Reinhard Mey,266.8,0.577,0.4,2004ø
Die Schuhe,Die Grosse Tournee '86,Reinhard Mey,244.8,0.577,0.4,1986ø
Die Homestory,Lebenszeichen,Reinhard Mey,434.4,0.577,0.4,1975ø
Die Erste Stunde,Live '84,Reinhard Mey,242.9,0.577,0.4,1983ø
Die Drei Musketiere,Starportrait,Reinhard Mey,136.4,0.577,0.4,1977ø
Der Nasenmann,Flaschenpost,Reinhard Mey,270.3,0.577,0.4,1998ø
Der Kleine Wiesel,Ruem Hart,Reinhard Mey,309.2,0.577,0.4,2002ø
Der Biker,! Ich Kann,Reinhard Mey,408.6,0.577,0.4,1998ø
Das Narrenschiff,! Ich Kann,Reinhard Mey,536.8,0.577,0.4,1998ø
Das Lied Von Der Zeitung,Ich Wollte Wie Orpheus Singen,Reinhard Mey,230.1,0.577,0.4,1967ø
Das Etikett,Alles Geht!,Reinhard Mey,311.2,0.577,0.4,1992ø
Charlotte,Live '84,Reinhard Mey,386.7,0.577,0.4,1981ø
Atze Lehmann,Ikarus,Reinhard Mey,379.4,0.577,0.4,1975ø
Allein,Farben,Reinhard Mey,330.0,0.577,0.4,1990ø
