The Sinner,Shakin' the Devil's Band,Rob Tognoni,239.5,0.489,0.373,1995ø
Roosevelt & Ira Lee,Shakin' the Devil's Band,Rob Tognoni,357.2,0.489,0.373,2005ø
Product of a Southern Land,Shakin' the Devil's Band,Rob Tognoni,384.2,0.489,0.373,2001ø
Pourin' Down Me,Shakin' the Devil's Band,Rob Tognoni,230.1,0.489,0.373,2005ø
Mr. John Lee,Shakin' the Devil's Band,Rob Tognoni,242.2,0.489,0.373,2005ø
Lil' Melody,Shakin' the Devil's Band,Rob Tognoni,231.9,0.489,0.373,1995ø
Keep Your Hands to Yourself,Shakin' the Devil's Band,Rob Tognoni,182.8,0.489,0.373,2005ø
Jim Beam Blues,Shakin' the Devil's Band,Rob Tognoni,229.4,0.489,0.373,1997ø
Drink Jack Boogie,Shakin' the Devil's Band,Rob Tognoni,223.9,0.489,0.373,2001ø
Dirty Occupation,Shakin' the Devil's Band,Rob Tognoni,244.1,0.489,0.373,1995ø
Crossword Blues,Shakin' the Devil's Band,Rob Tognoni,370.9,0.489,0.373,1995ø
Comin' Home Tonight,Shakin' the Devil's Band,Rob Tognoni,305.0,0.489,0.373,2002ø
Black Chair,Shakin' the Devil's Band,Rob Tognoni,171.1,0.489,0.373,1995ø
Bad Girl,Shakin' the Devil's Band,Rob Tognoni,181.9,0.489,0.373,1995ø
Baby Please don't Go,Shakin' the Devil's Band,Rob Tognoni,223.6,0.489,0.373,1997ø
