Ynnar Retidem,L'indret Prohibit,Roger Subirana,264.1,0.394,0.35,2002ø
Un Res Pyr,L'indret Prohibit,Roger Subirana,288.1,0.394,0.35,2002ø
Terres de Legenda,L'indret Prohibit,Roger Subirana,333.6,0.394,0.35,2002ø
Tecnologia Adversa,L'indret Prohibit,Roger Subirana,231.1,0.394,0.35,2002ø
Somnis Llunyans,Secrets,Roger Subirana,208.2,0.394,0.35,2008ø
Presoner de la Nit,L'indret Prohibit,Roger Subirana,308.6,0.394,0.35,2002ø
Nysfan,Secrets,Roger Subirana,241.8,0.394,0.35,2008ø
Naidi Yun,Secrets,Roger Subirana,269.0,0.394,0.35,2008ø
Na Llu,Secrets,Roger Subirana,323.2,0.394,0.35,2008ø
Mosaica,Secrets,Roger Subirana,529.3,0.394,0.35,2008ø
May Dorenishe,L'indret Prohibit,Roger Subirana,260.5,0.394,0.35,2002ø
Jugant amb les Estrelles,L'indret Prohibit,Roger Subirana,286.7,0.394,0.35,2002ø
Hornblenda,L'indret Prohibit,Roger Subirana,230.1,0.394,0.35,2002ø
Fush,Secrets,Roger Subirana,205.7,0.394,0.35,2008ø
Eval Idem,L'indret Prohibit,Roger Subirana,150.2,0.394,0.35,2002ø
El Poema de la Pluja,L'indret Prohibit,Roger Subirana,215.8,0.394,0.35,2002ø
El Naixement de les Flors,Secrets,Roger Subirana,202.2,0.394,0.35,2008ø
El Cant de la Sirena,L'indret Prohibit,Roger Subirana,233.8,0.394,0.35,2002ø
Doshmy Larayon,Secrets,Roger Subirana,286.6,0.394,0.35,2008ø
Disbey Ke,Secrets,Roger Subirana,221.5,0.394,0.35,2008ø
Dinaisha,L'indret Prohibit,Roger Subirana,246.3,0.394,0.35,2002ø
Deshmy Laggio,Secrets,Roger Subirana,242.9,0.394,0.35,2008ø
Celtamontes,L'indret Prohibit,Roger Subirana,236.5,0.394,0.35,2002ø
Cavalls Galactics,L'indret Prohibit,Roger Subirana,309.1,0.394,0.35,2002ø
Atsunai,Secrets,Roger Subirana,250.5,0.394,0.35,2008ø
Aquella Olor Coneguda,L'indret Prohibit,Roger Subirana,166.9,0.394,0.35,2002ø
Ales Blanques,Secrets,Roger Subirana,258.1,0.394,0.35,2008ø
