Sunshine,Mescalito,Ryan Bingham,260.1,0.541,0.469,2007ø
Sunrise,Mescalito,Ryan Bingham,285.9,0.541,0.469,2006ø
Southside Of Heaven,Mescalito,Ryan Bingham,379.2,0.541,0.469,2004ø
Long Way From Georgia,Mescalito,Ryan Bingham,230.6,0.541,0.469,2004ø
Hard Times,Mescalito,Ryan Bingham,278.3,0.541,0.469,2007ø
Ghost Of Travelin' Jones,Mescalito,Ryan Bingham,249.4,0.541,0.469,2007ø
Every Wonder Why,Mescalito,Ryan Bingham,298.9,0.541,0.469,2007ø
Don't Wait For Me,Mescalito,Ryan Bingham,295.1,0.541,0.469,2006ø
Dollar A Day,Mescalito,Ryan Bingham,131.9,0.541,0.469,2006ø
Bread & Water,Mescalito,Ryan Bingham,247.3,0.541,0.469,2007ø
Boracho Station,Mescalito,Ryan Bingham,123.1,0.541,0.469,2006ø
