You're In A Bad Way (Album Version),So Tough,Saint Etienne,187.6,0.703,0.464,1993ø
You Know I'll Miss You When I'm Gone,Tiger Bay,Saint Etienne,176.8,0.703,0.464,2010ø
Winter Melody,Continental,Saint Etienne,283.8,0.703,0.464,1997ø
Winter In America,Foxbase Alpha,Saint Etienne,353.0,0.703,0.464,2009ø
White Dress,Finisterre,Saint Etienne,136.2,0.703,0.464,2010ø
Western Wind,Tiger Bay,Saint Etienne,235.4,0.703,0.464,1994ø
We're In The City,Sound Of Water,Saint Etienne,281.9,0.703,0.464,1999ø
We Could Have It All,Continental,Saint Etienne,168.8,0.703,0.464,2009ø
Urban Clearway,Tiger Bay,Saint Etienne,237.9,0.703,0.464,1994ø
Time And Tide,Finisterre,Saint Etienne,239.1,0.703,0.464,2002ø
This Is Tomorrow,Method Of Modern Love,Saint Etienne,215.6,0.703,0.464,2009ø
This Is Radio Etienne,Foxbase Beta,Saint Etienne,53.3,0.703,0.464,1991ø
There There My Brigadier,Finisterre,Saint Etienne,209.8,0.703,0.464,2010ø
The Wedding of Stacy Dorning,Tiger Bay,Saint Etienne,166.8,0.703,0.464,2010ø
The Reckoning,Foxbase Alpha,Saint Etienne,88.0,0.703,0.464,2009ø
Thank You,Sound Of Water,Saint Etienne,265.5,0.703,0.464,2000ø
Sylvie,Good Humor,Saint Etienne,288.6,0.703,0.464,1998ø
Sycamore,Sound Of Water,Saint Etienne,226.8,0.703,0.464,2000ø
Sweet Pea,Foxbase Alpha,Saint Etienne,285.7,0.703,0.464,2009ø
Sushi Rider,Tiger Bay,Saint Etienne,178.2,0.703,0.464,1994ø
Sun In My Morning,Tales From Turnpike House,Saint Etienne,161.8,0.703,0.464,2005ø
Summerisle,Finisterre,Saint Etienne,188.0,0.703,0.464,2002ø
Suburban Autumn Lieutenant,Continental,Saint Etienne,241.8,0.703,0.464,1999ø
Stranger In Paradise,So Tough,Saint Etienne,206.9,0.703,0.464,1992ø
Stormtrooper In Drag,Continental,Saint Etienne,326.5,0.703,0.464,1997ø
Stop & Think It Over,Finisterre,Saint Etienne,213.1,0.703,0.464,2002ø
Stoned To Say The Least,Foxbase Beta,Saint Etienne,365.2,0.703,0.464,1991ø
Stars Above Us,London Conversations,Saint Etienne,203.9,0.703,0.464,2005ø
Spring,Only Love Can Break Your Heart,Saint Etienne,303.3,0.703,0.464,1991ø
Soft Like Me,London Conversations,Saint Etienne,263.8,0.703,0.464,2002ø
So Mystified,Finisterre,Saint Etienne,180.0,0.703,0.464,2010ø
Snowplough,So Tough,Saint Etienne,220.6,0.703,0.464,1993ø
Side Streets,London Conversations,Saint Etienne,175.3,0.703,0.464,2005ø
Shock Corridor,Finisterre,Saint Etienne,201.6,0.703,0.464,2002ø
She's The One,Foxbase Beta,Saint Etienne,218.3,0.703,0.464,1991ø
Seven Summers,Finisterre,Saint Etienne,305.2,0.703,0.464,2010ø
Queen of Polythene,Finisterre,Saint Etienne,189.0,0.703,0.464,2001ø
Primrose Hill,Finisterre,Saint Etienne,133.8,0.703,0.464,2004ø
Postal Interlude,Continental,Saint Etienne,83.5,0.703,0.464,2009ø
People Get Real,London Conversations,Saint Etienne,282.6,0.703,0.464,1992ø
Parliament Hill,Foxbase Alpha,Saint Etienne,155.1,0.703,0.464,1995ø
Pale Movie,Tiger Bay,Saint Etienne,268.4,0.703,0.464,1994ø
Orpington Blues,So Tough,Saint Etienne,380.0,0.703,0.464,2009ø
Only Love Can Break Your Heart,Foxbase Beta,Saint Etienne,268.6,0.703,0.464,1990ø
Nothing Can Stop Us Now,Foxbase Alpha,Saint Etienne,259.7,0.703,0.464,2004ø
Northwestern,Sound Of Water,Saint Etienne,327.9,0.703,0.464,2000ø
