Whatever Season,Sambassadeur,Sambassadeur,194.0,0.632,0.382,2005ø
Think Nothing Of It,Coastal Affairs,Sambassadeur,176.4,0.632,0.382,2006ø
There You Go,New Moon,Sambassadeur,151.6,0.632,0.382,2005ø
The Only Living Girl,Between the Lines,Sambassadeur,157.0,0.632,0.382,2005ø
Still Life Ahead,Sambassadeur,Sambassadeur,176.7,0.632,0.382,2005ø
Sense of Sound,Sambassadeur,Sambassadeur,230.8,0.632,0.382,2005ø
Posture of a Boy,Sambassadeur,Sambassadeur,159.8,0.632,0.382,2005ø
One Last Remark,Sambassadeur,Sambassadeur,197.0,0.632,0.382,2005ø
New Moon,Sambassadeur,Sambassadeur,161.3,0.632,0.382,2005ø
Marie,Coastal Affairs,Sambassadeur,249.2,0.632,0.382,2006ø
Kate,Coastal Affairs,Sambassadeur,229.8,0.632,0.382,2006ø
Just Because of You,Sambassadeur,Sambassadeur,165.0,0.632,0.382,2005ø
In The Calm,Between The Lines,Sambassadeur,124.1,0.632,0.382,2005ø
If Rain,Sambassadeur,Sambassadeur,155.1,0.632,0.382,2005ø
Ice & Snow,Between the Lines,Sambassadeur,182.5,0.632,0.382,2005ø
Final Say,Final Say,Sambassadeur,343.3,0.632,0.382,2007ø
Claudine,Coastal Affairs,Sambassadeur,191.7,0.632,0.382,2006ø
Can You See Me,Between the Lines,Sambassadeur,191.3,0.632,0.382,2005ø
